_id,ปี,ที่มา,รายชื่อ
54,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด เจริญฟู้ดส์ อุตสาหกิจจำกัด
55,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด (มหาชน) 277 สยามอุตสาหกรรมเกษตรอาหาร จำกัด
56,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,ห้างหุ้นส่วนจำกัด อุตสาหกรรมผลไม้ปราณบุรี
57,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ควอลิตี้ ไพน์แอปเปิล โปรดักส์จำกัด
58,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ไวลด์ วอเตอร์ เกท
59,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ไอซ์ แอนด์ อัญ โคโคนัทไฟเบอร์
60,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ผลไม้กระป๋องสยาม(1988)
61,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด เนเชอรัล ฟรุตจำกัด
62,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ไทยยอดทิพย์จำกัด
63,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,ห้างหุ้นส่วนจำกัด มาลี เจริญทรัพย์ผลไม้จำกัด
64,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด เถกิงอุตสาหกรรมสับปะรดกระป๋อง
65,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด สตาร์ แคนเนอร
66,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด โดลไทยแลนด
67,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ทรัพย์พืชผล (เดิมชื่อ 47 พืชผลพัฒนาทรัพย์)
68,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด สยามอโลเวล่า (2005)
69,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด มาย เอ็นดีเวอร์ (2005)
70,2566,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด โดล เฟรช โพรดิวซ์ (ไทยแลนด์)
