﻿year,quarter,_id,area,region,value,unit,source
2558,ไตรมาส 3,132,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,19.79,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 3,133,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,59.54,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 3,134,ในเขตเทศบาล,ภาคใต้,23.31,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 3,135,นอกเขตเทศบาล,ภาคใต้,35.26,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 4,136,ในเขตเทศบาล,กรุงเทพมหานคร,47.06,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 4,137,ในเขตเทศบาล,ภาคกลาง,50.04,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 4,138,นอกเขตเทศบาล,ภาคกลาง,53.9,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 4,139,ในเขตเทศบาล,ภาคเหนือ,17.21,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 4,140,นอกเขตเทศบาล,ภาคเหนือ,30.51,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 4,141,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,13.51,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 4,142,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,38.76,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 4,143,ในเขตเทศบาล,ภาคใต้,15.43,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาส 4,144,นอกเขตเทศบาล,ภาคใต้,42.42,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 1,145,ในเขตเทศบาล,กรุงเทพมหานคร,39.4,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 1,146,ในเขตเทศบาล,ภาคกลาง,64.45,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 1,147,นอกเขตเทศบาล,ภาคกลาง,56.53,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 1,148,ในเขตเทศบาล,ภาคเหนือ,19.17,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 1,149,นอกเขตเทศบาล,ภาคเหนือ,43.33,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 1,150,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,22.27,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 1,151,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,62.01,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 1,152,ในเขตเทศบาล,ภาคใต้,29.9,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 1,153,นอกเขตเทศบาล,ภาคใต้,32.85,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 2,154,ในเขตเทศบาล,กรุงเทพมหานคร,64.6,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 2,155,ในเขตเทศบาล,ภาคกลาง,49.0,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 2,156,นอกเขตเทศบาล,ภาคกลาง,63.41,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 2,157,ในเขตเทศบาล,ภาคเหนือ,23.77,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 2,158,นอกเขตเทศบาล,ภาคเหนือ,30.54,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 2,159,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,18.16,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 2,160,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,78.88,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 2,161,ในเขตเทศบาล,ภาคใต้,36.79,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 2,162,นอกเขตเทศบาล,ภาคใต้,46.02,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 3,163,ในเขตเทศบาล,กรุงเทพมหานคร,45.4,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 3,164,ในเขตเทศบาล,ภาคกลาง,51.35,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 3,165,นอกเขตเทศบาล,ภาคกลาง,61.42,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 3,166,ในเขตเทศบาล,ภาคเหนือ,21.33,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 3,167,นอกเขตเทศบาล,ภาคเหนือ,42.27,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 3,168,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,23.36,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 3,169,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,58.27,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 3,170,ในเขตเทศบาล,ภาคใต้,29.06,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 3,171,นอกเขตเทศบาล,ภาคใต้,30.07,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 4,172,ในเขตเทศบาล,กรุงเทพมหานคร,37.7,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 4,173,ในเขตเทศบาล,ภาคกลาง,56.73,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 4,174,นอกเขตเทศบาล,ภาคกลาง,53.55,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 4,175,ในเขตเทศบาล,ภาคเหนือ,18.33,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 4,176,นอกเขตเทศบาล,ภาคเหนือ,44.69,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 4,177,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,26.67,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 4,178,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,52.71,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 4,179,ในเขตเทศบาล,ภาคใต้,36.29,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาส 4,180,นอกเขตเทศบาล,ภาคใต้,39.7,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 1,181,ในเขตเทศบาล,กรุงเทพมหานคร,53.15,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 1,182,ในเขตเทศบาล,ภาคกลาง,66.74,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 1,183,นอกเขตเทศบาล,ภาคกลาง,56.44,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 1,184,ในเขตเทศบาล,ภาคเหนือ,26.84,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 1,185,นอกเขตเทศบาล,ภาคเหนือ,37.29,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 1,186,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,28.49,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 1,187,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,119.09,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 1,188,ในเขตเทศบาล,ภาคใต้,26.82,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 1,189,นอกเขตเทศบาล,ภาคใต้,48.52,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 2,190,ในเขตเทศบาล,กรุงเทพมหานคร,65.57,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 2,191,ในเขตเทศบาล,ภาคกลาง,62.45,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 2,192,นอกเขตเทศบาล,ภาคกลาง,68.53,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 2,193,ในเขตเทศบาล,ภาคเหนือ,32.09,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 2,194,นอกเขตเทศบาล,ภาคเหนือ,40.53,พันคน,สำนักงานสถิติแห่งชาติ
