ประเภท,_id,ปี,ชื่อโรงงาน,ประกอบกิจการ,ตำบล,อำเภอ,ปีก่อตั้ง
ก่อผลกระทบด้านฝุ่น,62,2568,บริษัท 545 พาราวูด จำกัด,แปรรูปไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย อัดน้ำยาและอบไม้,จุมพล,โพนพิสัย,2562
ก่อผลกระทบด้านฝุ่น,63,2568,บริษัท เกี๊ยกฮั้ว พาราวู๊ด อินเตอร์เนชั่นแนล จำกัด,ผลิตไม้วีเนียร์จากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่ายและอบแห้งไม้,ชุมช้าง,โพนพิสัย,2562
ก่อผลกระทบด้านฝุ่น,64,2568,ห้างหุ้นส่วนจำกัด บุญธรรม 2556,ทำผลิตภัณฑ์จากคอนกรีต เช่น อิฐบล็อค แผ่นพื้น เสาเข็ม,ชุมช้าง,โพนพิสัย,2562
ก่อผลกระทบด้านฝุ่น,65,2568,ห้างหุ้นส่วนจำกัด หงษ์ทองสว่างคอนกรีต,ผลิตคอนกรีตผสมเสร็จ,จุมพล,โพนพิสัย,2563
ไม่ก่อผลกระทบด้านฝุ่น,66,2568,โรงน้ำแข็งเชิดชัย,ทำน้ำแข็งก้อนเล็ก (กำลังการผลิต 30 ตัน/วัน),วัดหลวง,โพนพิสัย,2563
ก่อผลกระทบด้านฝุ่น,67,2568,เอ็มที ชิพวู๊ด,โรงงานแปรรูปไม้/ผลิตชิ้นไม้สับ/ไม้วีเนียร์จากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,กุดบง,โพนพิสัย,2564
ไม่ก่อผลกระทบด้านฝุ่น,68,2568,ห้างหุ้นส่วนจำกัด ดวงภมรเมทัลชีท,ผลิตแผ่นหลังคาเหล็ก ขึ้นรูป รีด ตัด และพับโลหะทั่วไป,จุมพล,โพนพิสัย,2564
ไม่ก่อผลกระทบด้านฝุ่น,69,2568,บริษัท เอ.เอส.เอ็นคอนกรีต 2009 จำกัด,ผลิตแผ่นหลังคาเหล็ก ขึ้นรูป รีด ตัด และพับโลหะ,จุมพล,โพนพิสัย,2564
ไม่ก่อผลกระทบด้านฝุ่น,70,2568,ห้างหุ้นส่วนจำกัด เจบี 007 เม็ททอลส์ หนองคาย,ผลิตแผ่นหลังคาเหล็ก ขึ้นรูป รีด ตัด พับ และเชื่อมโลหะทั่วไป,จุมพล,โพนพิสัย,2564
ไม่ก่อผลกระทบด้านฝุ่น,71,2568,ห้างหุ้นส่วนจำกัด ภราดรเคหะภัณฑ์,ผลิตแผ่นหลังคาเหล็ก ขึ้นรูป รีด ตัด พับ และเชื่อมโลหะทั่วไป,จุมพล,โพนพิสัย,2564
ก่อผลกระทบด้านฝุ่น,72,2568,ปากสวยวู๊ดชิพ,ผลิตชิ้นไม้สับเพื่อจำหน่ายและไม้แปรรูปที่ผ่านการอบแล้ว จากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี,วัดหลวง,โพนพิสัย,2564
ไม่ก่อผลกระทบด้านฝุ่น,73,2568,ห้างหุ้นส่วนจำกัด โชคอนันต์ เบสท์โฮม,ผลิตแผ่นหลังคาเหล็ก ขึ้นรูป รีด ตัด พับโลหะ และเชื่อมโลหะทั่วไป,วัดหลวง,โพนพิสัย,2564
ไม่ก่อผลกระทบด้านฝุ่น,74,2568,ห้างหุ้นส่วนจำกัด บี เค เม็ททอลชีท (โพนพิสัย),ผลิตแผ่นหลังคาเหล็ก ขึ้นรูป รีด ตัด พับ และเชื่อมโลหะทั่วไป,วัดหลวง,โพนพิสัย,2564
ไม่ก่อผลกระทบด้านฝุ่น,75,2568,บริษัท ตา โอ.เค พลาสติก จำกัด,ผลิตขวดพลาสติก,จุมพล,โพนพิสัย,2566
ก่อผลกระทบด้านฝุ่น,76,2568,บริษัท หนองคาย เบสท์ จำกัด,ผลิตแอสฟัลท์ติกคอนกรีต,ชุมช้าง,โพนพิสัย,2566
ก่อผลกระทบด้านฝุ่น,77,2568,ร้านบ้านบัววัสดุ(คอนกรีต),ผลิตคอนกรีตผสมเสร็จ,ชุมช้าง,โพนพิสัย,2567
ก่อผลกระทบด้านฝุ่น,78,2568,ห้างหุ้นส่วนจำกัด ชนะชัย 108 วัสดุ,ผลิตคอนกรีตผสมเสร็จ,วัดหลวง,โพนพิสัย,2567
ก่อผลกระทบด้านฝุ่น,79,2568,โรงแปรรูปเนื้อสัตว์โพนพิสัย,ฆ่าสัตว์ และชำแหละเนื้อสัตว์ เช่น โค สุกร,จุมพล,โพนพิสัย,2568
ไม่ก่อผลกระทบด้านฝุ่น,80,2568,ห้างหุ้นส่วนจำกัด โรงน้ำแข็ง เอส แอนด์ ซัน หนองคาย,ทำน้ำแข็งก้อนเล็ก 15 ตัน/วัน ผลิตน้ำแข็งซอง 175 ซอง/วัน,ในเมือง,เมืองหนองคาย,2515
ก่อผลกระทบด้านฝุ่น,81,2568,บริษัท โรงสีไฟชัยธนาสินเจริญ จำกัด,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 150 เกวียน/วัน,โพธิ์ชัย,เมืองหนองคาย,2525
ก่อผลกระทบด้านฝุ่น,82,2568,บริษัท เทพอรุโณทัย จำกัด,ผลิตสุราขาวและสุราผสม ตามสัญญาที่ทำไว้กับกรมสรรพสามิต,หาดคำ,เมืองหนองคาย,2528
ไม่ก่อผลกระทบด้านฝุ่น,83,2568,โรงกลึงสิทธิชัย,ทำเครื่องใช้เล็ก ๆ จากโลหะ เช่น น๊อต และซ่อมแซมเครื่องยนต์,ในเมือง,เมืองหนองคาย,2529
ก่อผลกระทบด้านฝุ่น,84,2568,โกวิทศิริกุลบริการ,ทำคอนกรีตผสมเสร็จ,ค่ายบกหวาน,เมืองหนองคาย,2535
ก่อผลกระทบด้านฝุ่น,85,2568,โรงงานคอนกรีตผสมเสร็จ หนองคาย (เลี่ยงเมือง),ผลิตคอนกรีตผสมเสร็จ และการร่อนหรือคัดกรวดหรือทราย,หนองกอมเกาะ,เมืองหนองคาย,2535
ก่อผลกระทบด้านฝุ่น,86,2568,บริษัท ทรัพย์อุดมคอนกรีต จำกัด,"ทำผลิตภัณฑ์คอนกรีต เช่นท่อคอนกรีตอัดแรง, แผ่นพื้นสำเร็จรูป ฯลฯ",หนองกอมเกาะ,เมืองหนองคาย,2536
ก่อผลกระทบด้านฝุ่น,87,2568,โรงโม่กรวดพัฒนาหนองคาย,โม่ บด หรือย่อยกรวด,บ้านเดื่อ,เมืองหนองคาย,2538
ก่อผลกระทบด้านฝุ่น,88,2568,บริษัท เอส.พี.วู้ดเทรดดิ้ง จำกัด,ทำวงกบ ประตู หน้าต่าง เครื่องเรือนเครื่องใช้ ลูกกรง ราวบันได,โพธิ์ชัย,เมืองหนองคาย,2538
ก่อผลกระทบด้านฝุ่น,89,2568,บริษัท กฤษดาอุตสาหกรรมไม้ จำกัด,ทำวงกบ ประตู หน้าต่าง เครื่องเรือนเครื่องใช้ ลูกกรง บาร์เกต์โมเสด,โพธิ์ชัย,เมืองหนองคาย,2538
ไม่ก่อผลกระทบด้านฝุ่น,90,2568,ห้างหุ้นส่วนจำกัด หนองคาย พี.เค ไอซ์แฟคทอรี่,ทำน้ำแข็งก้อนเล็ก,หาดคำ,เมืองหนองคาย,2538
ก่อผลกระทบด้านฝุ่น,91,2568,บริษัท อุดมไพร จำกัด,ทำวงกบประตู-หน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ของอาคาร,โพธิ์ชัย,เมืองหนองคาย,2540
ไม่ก่อผลกระทบด้านฝุ่น,92,2568,บริษัท มิตซูเจียงหนองคาย จำกัด,ซ่อมเครื่องยนต์ และซ่อมรถยนต์,โพธิ์ชัย,เมืองหนองคาย,2540
ก่อผลกระทบด้านฝุ่น,93,2568,บริษัท โรซ่า เกษตรอุตสาหกรรม จำกัด,ทำเครื่องดื่มจาก ผัก พืช หรือผลไม้ เช่น น้ำมะเขือเทศ,บ้านเดื่อ,เมืองหนองคาย,2541
ก่อผลกระทบด้านฝุ่น,94,2568,บริษัท โรงสีไฟชัยธนาสินเจริญ จำกัด,อบข้าวเปลือก,โพธิ์ชัย,เมืองหนองคาย,2541
ไม่ก่อผลกระทบด้านฝุ่น,95,2568,บริษัท พีซี ฟลูติค เมคคานิค จำกัด,ทำภาชนะบรรจุ กลึง เชื่อมโลหะ เช่น ทำถังโลหะบรรจุน้ำ,โพธิ์ชัย,เมืองหนองคาย,2542
ก่อผลกระทบด้านฝุ่น,96,2568,บริษัท ชัยชาญผลิตภัณฑ์ไม้ จำกัด,ทำกรอบรูปหรือกรอบกระจกจากไม้,หนองกอมเกาะ,เมืองหนองคาย,2542
ก่อผลกระทบด้านฝุ่น,97,2568,บริษัท อาร์ ยูไนเต็ด โฟลดิ้ง จำกัด,ทำภาชนะบรรจุจากกระดาษทุกชนิด,หนองกอมเกาะ,เมืองหนองคาย,2543
ไม่ก่อผลกระทบด้านฝุ่น,98,2568,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งหนองคายสายฝน,ทำน้ำแข็งก้อนเล็ก,เวียงคุก,เมืองหนองคาย,2544
ก่อผลกระทบด้านฝุ่น,99,2568,ห้างหุ้นส่วนจำกัด โกวิทศิริกุลบริการ,ผลิตแอสฟัลท์ติคคอนกรีต,บ้านเดื่อ,เมืองหนองคาย,2545
ก่อผลกระทบด้านฝุ่น,100,2568,บริษัท ธัญณิชามู่ฉาง อิมพอร์ต เอ็กซ์พอร์ต จำกัด,ทำเครื่องเรือนเครื่องใช้ในบ้านเรือนจากไม้ และอุปกรณ์การเรียนการสอนจากไม้,โพนสว่าง,เมืองหนองคาย,2546
ก่อผลกระทบด้านฝุ่น,101,2568,บริษัท อุดมวู๊ดโปรดักส์ จำกัด,ทำวงกบ ประตู หน้าต่าง เครื่องเรือนเครื่องใช้จากไม้ ลูกกรง ปาร์เกต์ โมเสด,โพธิ์ชัย,เมืองหนองคาย,2547
ไม่ก่อผลกระทบด้านฝุ่น,102,2568,ประยูรเซอร์วิส,ซ่อมเคาะพ่นสีรถยนต์,โพธิ์ชัย,เมืองหนองคาย,2547
ก่อผลกระทบด้านฝุ่น,103,2568,ห้างหุ้นส่วนจำกัด หนองคาย วู้ดเด้น 2511,ทำวงกบ ประตู หน้าต่างและเครื่องเรือนเครื่องใช้จากไม้,ค่ายบกหวาน,เมืองหนองคาย,2549
ก่อผลกระทบด้านฝุ่น,104,2568,บริษัท จงรัก คอนกรีต จำกัด สาขาถนนมิตรภาพ,ผลิตคอนกรีตผสมเสร็จ,ค่ายบกหวาน,เมืองหนองคาย,2549
ก่อผลกระทบด้านฝุ่น,105,2568,ห้างหุ้นส่วนจำกัด เจียบง้วน อิมปอร์ต-เอ็กซ์ปอร์ต,ไส ซอย เซาะร่องไม้แปรรูป และทำวงกบ ประตู หน้าต่าง เครื่องเรือนเครื่องใช้จากไม้,โพธิ์ชัย,เมืองหนองคาย,2549
ก่อผลกระทบด้านฝุ่น,106,2568,บริษัท อาร์ ยูไนเต็ด โฟลดิ้ง จำกัด,ทำภาชนะบรรจุจากกระดาษทุกชนิด,โพธิ์ชัย,เมืองหนองคาย,2549
ไม่ก่อผลกระทบด้านฝุ่น,107,2568,บริษัท ฟิวเจอร์ เทค เอ็นเตอร์ไพรส์ จำกัด,ประกอบสายไฟรถยนต์,หนองกอมเกาะ,เมืองหนองคาย,2549
ไม่ก่อผลกระทบด้านฝุ่น,108,2568,บริษัท โขง วอเตอร์ พลัส จำกัด,ทำน้ำดื่ม และทำผลิตภัณฑ์พลาสติก,หาดคำ,เมืองหนองคาย,2549
ไม่ก่อผลกระทบด้านฝุ่น,109,2568,โรงน้ำแข็งล่องหน,ทำน้ำแข็งก้อนเล็ก,ค่ายบกหวาน,เมืองหนองคาย,2550
ก่อผลกระทบด้านฝุ่น,110,2568,บริษัท ทรัพย์ดีวัสดุภัณฑ์ จำกัด,แปรรูปไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย และทำไม้แผ่นประสาน,โพนสว่าง,เมืองหนองคาย,2550
ไม่ก่อผลกระทบด้านฝุ่น,111,2568,บริษัท มิตรภาพ รีไซเคิล(หนองคาย) จำกัด,อัดเศษโลหะและเศษกระดาษ,หนองกอมเกาะ,เมืองหนองคาย,2550
ไม่ก่อผลกระทบด้านฝุ่น,112,2568,บริษัท โตโยต้าหนองคายผู้จำหน่ายโตโยต้า จำกัด,ซ่อมรถยนต์และเครื่องยนต์,โพธิ์ชัย,เมืองหนองคาย,2551
ก่อผลกระทบด้านฝุ่น,113,2568,หนองคายค้าไม้,"ทำวงกบประตู-หน้าต่าง,บานประตู-หน้าต่าง และเครื่องเรือนจากไม้",ค่ายบกหวาน,เมืองหนองคาย,2552
ก่อผลกระทบด้านฝุ่น,114,2568,ร้านแดงแหนมเนือง,ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น แหนมเนือง,ในเมือง,เมืองหนองคาย,2552
ก่อผลกระทบด้านฝุ่น,115,2568,โรงไม้อุบล,ไส ซอย หรือแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,โพธิ์ชัย,เมืองหนองคาย,2552
ก่อผลกระทบด้านฝุ่น,116,2568,บริษัท บุตรแสนก่อสร้าง จำกัด,ผลิตคอนกรีตผสมเสร็จ,หนองกอมเกาะ,เมืองหนองคาย,2552
ไม่ก่อผลกระทบด้านฝุ่น,117,2568,บริษัท หนองคาย ฮอนด้า ออโตโมบิล จำกัด,ซ่อมและพ่นสี รถยนต์,หนองกอมเกาะ,เมืองหนองคาย,2552
