FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
สุขสวัสดิ์,20113100125423,จ3-65-1/42สป,พระสมุทรเจดีย์,สมุทรปราการ,บริษัท มงคลเอ็นเนอร์จี จำกัด,6,2920,บริษัท มงคลเอ็นเนอร์จี จำกัด,ให้บริการซ่อมแซม บำรุงรักษา ตรวจสอบเครื่องยนต์,ดำเนินกิจการ,2023-04-18T21:00:05,100.549566666667,"237/28,34",13.5848166666667,วัดใหญ่,ในคลองบางปลากด
บยางนา-ตราด กม.5,20113400125420,จ3-84(1)-1/42สป,บางพลี,สมุทรปราการ,บริษัท ลอยตี้ จำกัด,15,2921,บริษัท ลอยตี้ จำกัด,รับจ้างทำเครื่องประดับอัญมณี,ดำเนินกิจการ,2023-04-18T21:00:05,100.654616666667,12/449,13.6665833333333,เปรมฤทัย,บางแก้ว
บางโค-กำนันจิตร์,20120100125402,จ3-12(11)-1/40นบ,บางใหญ่,นนทบุรี,บริษัท สมใจ ไอศกรีม จำกัด,2,2922,บริษัท สมใจ ไอศกรีม จำกัด,ผลิตไอศกรีม,ดำเนินกิจการ,2023-04-18T21:00:05,100.40415,1/3,13.85325,-,บางแม่นาง
-,20190300225435,จ3-43(1)-2/43สบ,บ้านหมอ,สระบุรี,บริษัท เค.บี.เค. เกษตรภัณท์ จำกัด,8,2923,บริษัท เค.บี.เค. เกษตรภัณฑ์ จำกัด,ผลิตปุ๋ยธรรมชาติ (อินทรีย์) และปุ๋ยเคมี ผลิตปุ๋ยอินทรีย์จากกากตะกอนชีวภาพเฉพาะจากอุตสาหกรรมอาหารเกษตรแปรรูปเยื่อ และกระดาษที่ไม่เป็นของเสียอันตราย,ดำเนินกิจการ,2023-04-18T21:00:05,100.75699,87,14.61042,-,สร่างโศก
บางกรวย-ไทรน้อย,20120200225425,จ3-53(4)-2/42นบ,บางบัวทอง,นนทบุรี,นายประสาน แสงเพ็ญพราว,5,2924,ปัญจพลพลาสติก,ทำถุงหิ้วพลาสติก,ดำเนินกิจการ,2023-04-18T21:00:05,100.383633333333,70/37,13.9464166666667,มัสยิดยามาลุดดิน,บางบัวทอง
-,20140100325430,จ3-64(13)-3/43อย,วังน้อย,พระนครศรีอยุธยา,บริษัท อินทิเกรเทด พรีซิชั่น เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด,7,2925,บริษัท อินทิเกรเทด พรีซิชั่น เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด,การผลิต ผลิตภัณฑ์โลหะรวมทั้งชิ้นส่วนโลหะ สำหรับยานยนต์หรือชิ้นส่วนโลหะ,ดำเนินกิจการ,2023-04-18T21:00:05,100.815583333333,99/1,14.2984833333333,-,สนับทึบ
คลองบางหญ้า,20743300125433,จ3-92-1/43สค,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท ไทยรอแยลฟรอเซนฟู๊ด จำกัด,1,2926,บริษัท ไทยรอแยลฟรอเซนฟู๊ด จำกัด,ห้องเย็น และแปรรูปสัตว์น้ำ,ดำเนินกิจการ,2023-04-18T21:00:05,100.245616666667,119/99,13.5364,NULL,ท่าจีน
ธนบุรี-ปากท่อ,10741000125424,3-92-1/42สค,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท เค.แอล.ห้องเย็น จำกัด,4,2927,บริษัท เค.แอล.ห้องเย็น จำกัด,ห้องเย็นเก็บสินค้า,ดำเนินกิจการ,2023-04-18T21:00:05,100.241266666667,88,13.5588333333333,NULL,ท่าทราย
-,20120100125410,จ3-9(1)-1/41นบ,ไทรน้อย,นนทบุรี,บริษัท โรงสีไฟ แสงไพฑูรย์ (2000) จำกัด,6,2928,บริษัท โรงสีไฟแสงไพฑูรย์(2000ป จำกัด,สี ฝัด หรือขัดข้าว และอบข้าวเปลือก (กำลังสีสูงสุดของร้านสีข้าว 280 เกวียน/วัน),ดำเนินกิจการ,2023-04-18T21:00:05,100.340083333333,35,14.02185,-,คลองขวาง
บางกรวย-ไทรน้อย,20120000525438,จ3-37-5/43นบ,บางบัวทอง,นนทบุรี,บริษัท ชัยโยคอนสตรัคชั่น แอนด์ อินทีเรีย ดีไซน์ จำกัด,3,2929,บริษัท ชัยโยคอนสตรัคชั่น แอนด์ อินทีเรีย ดีไซน์ จำกัด,ทำเครื่องเรือนจากไม้และโลหะ,ดำเนินกิจการ,2023-04-18T21:00:05,100.3941,99/1,13.9344333333333,สนเพชร,บางบัวทอง
