จังหวัด,_id,รอบการจัดเก็บข้อมูล,ชื่อโรงงานน้ำดื่ม,อำเภอ,ตำบล,ปีงบประมาณ
ศรีสะเกษ,117,6 เดือน,สุขใจ น้ำดื่ม,ขุขันธ์,ปราสาท,2568
ศรีสะเกษ,118,6 เดือน,สหไชยวอเตอร์,ขุขันธ์,ปราสาท,2568
ศรีสะเกษ,119,6 เดือน,น้ำดื่มกุลธิดา,ขุขันธ์,ศรีตระกูล,2568
ศรีสะเกษ,120,6 เดือน,โรงงานน้ำดื่มเอเอ/น้ำแข็งหลอดเอเอ,ขุขันธ์,สะเดาใหญ่,2568
ศรีสะเกษ,121,6 เดือน,โรงน้ำดื่มแม่สมร,ขุขันธ์,สำโรงตาเจ็น,2568
ศรีสะเกษ,122,6 เดือน,รุ่งทรัพย์,ขุขันธ์,สำโรงตาเจ็น,2568
ศรีสะเกษ,123,6 เดือน,ไทยเจริญ,ขุขันธ์,ห้วยเหนือ,2568
ศรีสะเกษ,124,6 เดือน,น้ำดื่มโรงเรียนขุขันธ์,ขุขันธ์,ห้วยเหนือ,2568
ศรีสะเกษ,125,6 เดือน,น้ำดื่มดริ้งฟอร์ยู,ขุขันธ์,ห้วยเหนือ,2568
ศรีสะเกษ,126,6 เดือน,โรงน้ำดื่มเธียรธาร,ขุขันธ์,ห้วยเหนือ,2568
ศรีสะเกษ,127,6 เดือน,น้ำดื่มธารธรรม,ขุขันธ์,ห้วยใต้,2568
ศรีสะเกษ,128,6 เดือน,โรงน้ำดื่มดิลิเชียส,ขุขันธ์,หัวเสือ,2568
ศรีสะเกษ,129,6 เดือน,ร้านผลิตและจำหน่ายน้ำดื่มกองทุนหมู่บ้านบ้านหัวเสือ หมู่ 1,ขุขันธ์,หัวเสือ,2568
ศรีสะเกษ,130,6 เดือน,น้ำดื่มมายด์,ไพรบึง,ไพรบึง,2568
ศรีสะเกษ,131,6 เดือน,น้ำดื่มกลอซซี่,ไพรบึง,สำโรงพลัน,2568
ศรีสะเกษ,132,6 เดือน,บริษัท ทองมณี คอร์ปอเรชั่น จำกัด,ไพรบึง,สำโรงพลัน,2568
ศรีสะเกษ,133,6 เดือน,น้ำดื่มบัวจันทร์,ไพรบึง,สุขสวัสดิ์,2568
ศรีสะเกษ,134,6 เดือน,เบญญทิพย์,ไพรบึง,ปราสาทเยอ,2568
ศรีสะเกษ,135,6 เดือน,น้ำดื่ม วาริช,ไพรบึง,ดินแดง,2568
ศรีสะเกษ,136,6 เดือน,ทวนทองน้ำดื่ม,ปรางค์กู่,สมอ,2568
ศรีสะเกษ,137,6 เดือน,ธีเฟรช,ปรางค์กู่,สมอ,2568
ศรีสะเกษ,138,6 เดือน,โรงผลิตน้ำดื่ม อบต.ตูม,ปรางค์กู่,ตูม,2568
ศรีสะเกษ,139,6 เดือน,น้ำดื่มตรานกน้อย,ปรางค์กู่,หนองเชียงทูน,2568
ศรีสะเกษ,140,6 เดือน,วีรยุทธพาณิชย์,ปรางค์กู่,ดู่,2568
ศรีสะเกษ,141,6 เดือน,พงษ์สกุลพาณิชย์,ปรางค์กู่,สำโรงปราสาท,2568
ศรีสะเกษ,142,6 เดือน,น้ำดื่มไทยดิว,ขุนหาญ,สิ,2568
ศรีสะเกษ,143,6 เดือน,เค.เอส.แอล วอเตอร์,ขุนหาญ,สิ,2568
ศรีสะเกษ,144,6 เดือน,วรรณิภาน้ำดื่ม,ขุนหาญ,สิ,2568
ศรีสะเกษ,145,6 เดือน,โรงน้ำดื่มภูบดินทร์,ขุนหาญ,สิ,2568
ศรีสะเกษ,146,6 เดือน,ห้างหุ้นส่วนจำกัด วิรัตน์กุลพาณิชย์,ขุนหาญ,ห้วยจันทร์,2568
ศรีสะเกษ,147,6 เดือน,เรนนิ่ง  วอลเตอร์,ขุนหาญ,ไพร,2568
ศรีสะเกษ,148,6 เดือน,โรงผลิตน้ำแก้ววารี,ขุนหาญ,ไพร,2568
ศรีสะเกษ,149,6 เดือน,ห้างหุ้นส่วนจำกัดพนมทิพย์,ขุนหาญ,พราน,2568
ศรีสะเกษ,150,6 เดือน,บริษัท ทิพย์ศรินทร์ จำกัด,ขุนหาญ,พราน,2568
ศรีสะเกษ,151,6 เดือน,ติมวิลา,ขุนหาญ,พราน,2568
ศรีสะเกษ,152,6 เดือน,น้ำดื่มบ้านซำตาโตงตะวันออก หมู่ 14,ขุนหาญ,พราน,2568
ศรีสะเกษ,153,6 เดือน,ห้างหุ้นส่วนจำกัด ฟ้าบันดาล,ขุนหาญ,บักดอง,2568
ศรีสะเกษ,154,6 เดือน,ห้างหุ้นส่วนจำกัด กินรีเรดิโอ,ขุนหาญ,บักดอง,2568
ศรีสะเกษ,155,6 เดือน,โรงน้ำดื่มตามรอยพ่อ วัดสำโรงเกียรติ,ขุนหาญ,บักดอง,2568
ศรีสะเกษ,156,6 เดือน,บริษัท ต้นกล้า พีเอส จำกัด,ขุนหาญ,บักดอง,2568
ศรีสะเกษ,157,6 เดือน,ออลนิว,ขุนหาญ,ภูฝ้าย,2568
ศรีสะเกษ,158,6 เดือน,น้ำดืม ทัยสไมล์,ขุนหาญ,ภูฝ้าย,2568
ศรีสะเกษ,159,6 เดือน,เอส อาร์ ที,ขุนหาญ,ขุนหาญ,2568
ศรีสะเกษ,160,6 เดือน,กองทุนหมู่บ้านกันทรอมใต้,ขุนหาญ,กันทรอม,2568
ศรีสะเกษ,161,6 เดือน,สมูดท์เบเวอร์เรจ,ขุนหาญ,กันทรอม,2568
ศรีสะเกษ,162,6 เดือน,บริษัท อริยะบุตร จำกัด,ขุนหาญ,กันทรอม,2568
ศรีสะเกษ,163,6 เดือน,พี.เจ.น้ำดื่ม,ขุนหาญ,โพธิ์วงศ์,2568
ศรีสะเกษ,164,6 เดือน,น้ำดื่มเฟมวอเตอร์,ราษีไศล,เมืองคง,2568
ศรีสะเกษ,165,6 เดือน,มาร์เฟียน้ำดื่ม,ราษีไศล,เมืองคง,2568
ศรีสะเกษ,166,6 เดือน,น้ำดื่มเวอร์ชั่น,ราษีไศล,เมืองคง,2568
ศรีสะเกษ,167,6 เดือน,โกลด์บอลราษี,ราษีไศล,เมืองคง,2568
ศรีสะเกษ,168,6 เดือน,สิงหพาณิชย์,ราษีไศล,เมืองคง,2568
ศรีสะเกษ,169,6 เดือน,เป่งน้ำทิพย์,ราษีไศล,เมืองคง,2568
ศรีสะเกษ,170,6 เดือน,โรงน้ำดื่มมินาริน,ราษีไศล,สร้างปี่,2568
ศรีสะเกษ,171,6 เดือน,ซี.เจ.วอเตอร์,ราษีไศล,เมืองแคน,2568
ศรีสะเกษ,172,6 เดือน,แสงจัน 63,ราษีไศล,เมืองแคน,2568
ศรีสะเกษ,173,6 เดือน,อาร์.ไอ.ที.วอเทอร์คลีน,ราษีไศล,ด่าน,2568
ศรีสะเกษ,174,6 เดือน,ทวีทรัพย์,ราษีไศล,บัวหุ่ง,2568
ศรีสะเกษ,175,6 เดือน,น้ำดื่ม ที สกาย วอเตอร์,ราษีไศล,ไผ่,2568
ศรีสะเกษ,176,6 เดือน,โรงน้ำพรหมคุณ,ราษีไศล,หนองแค,2568
ศรีสะเกษ,177,6 เดือน,น้ำดื่มตราพูนทิพย์,ราษีไศล,หนองหมี,2568
ศรีสะเกษ,178,6 เดือน,โรงผลิตน้ำดื่มตำบลหนองหมี,ราษีไศล,หนองหมี,2568
ศรีสะเกษ,179,6 เดือน,น้ำดื่มทับทิมทอง,อุทุมพรพิสัย,ปะอาว,2568
ศรีสะเกษ,180,6 เดือน,น้ำดื่มสดใส,อุทุมพรพิสัย,ปะอาว,2568
ศรีสะเกษ,181,6 เดือน,พูลเจริญทรัพย์น้ำดื่ม,อุทุมพรพิสัย,ปะอาว,2568
ศรีสะเกษ,182,6 เดือน,ร้านกิ่งกาญจนา,อุทุมพรพิสัย,ปะอาว,2568
ศรีสะเกษ,183,6 เดือน,น้ำดื่มกมลพร,อุทุมพรพิสัย,ก้านเหลือง,2568
