﻿year,sex,quarter,_id,area,region,value,unit,age_group,source
2561,รวม,ไตรมาส 1,117,รวม,ภาคกลาง,32.58,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,118,รวม,ภาคกลาง,77.83,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,119,รวม,ภาคกลาง,22.13,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,120,รวม,ภาคกลาง,71.22,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,121,รวม,ภาคกลาง,93.23,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,122,รวม,ภาคกลาง,95.13,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,123,รวม,ภาคกลาง,95.41,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,124,รวม,ภาคกลาง,95.0,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,125,รวม,ภาคกลาง,88.58,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,126,รวม,ภาคกลาง,41.47,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,127,รวม,ภาคกลาง,61.86,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,128,รวม,ภาคกลาง,14.29,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,129,รวม,ภาคกลาง,58.71,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,130,รวม,ภาคกลาง,80.39,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,131,รวม,ภาคกลาง,82.79,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,132,รวม,ภาคกลาง,82.56,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,133,รวม,ภาคกลาง,79.92,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,134,รวม,ภาคกลาง,67.78,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,135,รวม,ภาคกลาง,25.61,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,136,ในเขตเทศบาล,ภาคกลาง,69.12,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,137,ในเขตเทศบาล,ภาคกลาง,17.74,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,138,ในเขตเทศบาล,ภาคกลาง,60.05,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,139,ในเขตเทศบาล,ภาคกลาง,87.45,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,140,ในเขตเทศบาล,ภาคกลาง,89.86,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,141,ในเขตเทศบาล,ภาคกลาง,88.3,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,142,ในเขตเทศบาล,ภาคกลาง,86.72,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,143,ในเขตเทศบาล,ภาคกลาง,76.23,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,144,ในเขตเทศบาล,ภาคกลาง,29.36,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,145,ในเขตเทศบาล,ภาคกลาง,76.63,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,146,ในเขตเทศบาล,ภาคกลาง,19.47,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,147,ในเขตเทศบาล,ภาคกลาง,64.62,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,148,ในเขตเทศบาล,ภาคกลาง,92.72,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,149,ในเขตเทศบาล,ภาคกลาง,95.14,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,150,ในเขตเทศบาล,ภาคกลาง,95.67,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,151,ในเขตเทศบาล,ภาคกลาง,94.51,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,152,ในเขตเทศบาล,ภาคกลาง,87.31,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,153,ในเขตเทศบาล,ภาคกลาง,35.86,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,154,ในเขตเทศบาล,ภาคกลาง,62.18,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,155,ในเขตเทศบาล,ภาคกลาง,16.03,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,156,ในเขตเทศบาล,ภาคกลาง,55.5,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,157,ในเขตเทศบาล,ภาคกลาง,82.15,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,158,ในเขตเทศบาล,ภาคกลาง,84.62,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,159,ในเขตเทศบาล,ภาคกลาง,81.18,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,160,ในเขตเทศบาล,ภาคกลาง,79.35,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,161,ในเขตเทศบาล,ภาคกลาง,66.35,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,162,ในเขตเทศบาล,ภาคกลาง,24.32,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,163,นอกเขตเทศบาล,ภาคกลาง,70.02,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,164,นอกเขตเทศบาล,ภาคกลาง,18.67,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,165,นอกเขตเทศบาล,ภาคกลาง,69.52,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,166,นอกเขตเทศบาล,ภาคกลาง,86.54,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,167,นอกเขตเทศบาล,ภาคกลาง,88.21,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,168,นอกเขตเทศบาล,ภาคกลาง,89.48,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,169,นอกเขตเทศบาล,ภาคกลาง,87.8,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,170,นอกเขตเทศบาล,ภาคกลาง,78.79,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,171,นอกเขตเทศบาล,ภาคกลาง,35.06,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,172,นอกเขตเทศบาล,ภาคกลาง,78.84,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,173,นอกเขตเทศบาล,ภาคกลาง,24.2,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,174,นอกเขตเทศบาล,ภาคกลาง,76.76,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,175,นอกเขตเทศบาล,ภาคกลาง,93.7,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
