_id,ข้อมูล,ตำบล,อำเภอ,รายการ,หน่วยวัด,จังหวัด
172,,ต.กระชอน,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
173,,ต.ดงใหญ่,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
174,,ต.ธารละหลอด,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
175,1,ต.หนองระเวียง,อ.พิมาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
176,,ต.ห้วยแถลง,อ.ห้วยแถลง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
177,,ต.ทับสวาย,อ.ห้วยแถลง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
178,,ต.เมืองพลับพลา,อ.ห้วยแถลง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
179,,ต.หลุ่งตะเคียน,อ.ห้วยแถลง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
180,,ต.หินดาด,อ.ห้วยแถลง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
181,,ต.งิ้ว,อ.ห้วยแถลง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
182,,ต.หงรถ,อ.ห้วยแถลง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
183,,ต.หลุ่งประดู่,อ.ห้วยแถลง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
184,,ต.ตะโก,อ.ห้วยแถลง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
185,,ต.ห้วยแคน,อ.ห้วยแถลง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
186,,ต.ชุมพวง,อ.ชุมพวง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
187,,ต.ประสุข,อ.ชุมพวง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
188,,ต.ท่าลาด,อ.ชุมพวง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
189,,ต.สาหร่าย,อ.ชุมพวง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
190,,ต.ตลาดไทร,อ.ชุมพวง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
191,,ต.โนนรัง,อ.ชุมพวง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
192,,ต.หนองหลัก,อ.ชุมพวง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
193,,ต.โนนตูม,อ.ชุมพวง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
194,,ต.โนนยอ,อ.ชุมพวง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
195,,ต.สูงเนิน,อ.สูงเนิน,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
196,,ต.เสมา,อ.สูงเนิน,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
197,,ต.โคราช,อ.สูงเนิน,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
198,,ต.บุ่งขี้เหล็ก,อ.สูงเนิน,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
199,,ต.โนนค่า,อ.สูงเนิน,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
200,,ต.โค้งยาง,อ.สูงเนิน,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
201,,ต.มะเกลือเก่า,อ.สูงเนิน,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
202,,ต.มะเกลือใหม่,อ.สูงเนิน,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
203,,ต.นากลาง,อ.สูงเนิน,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
204,,ต.หนองตะไก้,อ.สูงเนิน,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
205,,ต.กุดจิก,อ.สูงเนิน,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
206,,ต.ขามทะเลสอ,อ.ขามทะเลสอ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
207,1,ต.โป่งแดง,อ.ขามทะเลสอ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
208,,ต.พันดุง,อ.ขามทะเลสอ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
209,,ต.หนองสรวง,อ.ขามทะเลสอ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
210,1,ต.บึงอ้อ,อ.ขามทะเลสอ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
211,1,ต.สีคิ้ว,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
212,,ต.บ้านหัน,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
213,,ต.กฤษณา,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
214,,ต.ลาดบัวขาว,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
215,1,ต.หนองหญ้าขาว,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
216,,ต.กุดน้อย,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
217,,ต.หนองน้ำใส,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
218,1,ต.วังโรงใหญ่,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
219,,ต.มิตรภาพ,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
220,,ต.คลองไผ่,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
221,,ต.ดอนเมือง,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
222,,ต.หนองบัวน้อย,อ.สีคิ้ว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
223,2,ต.ปากช่อง,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
224,2,ต.กลางดง,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
225,1,ต.จันทึก,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
226,,ต.วังกะทะ,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
227,,ต.หมูสี,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
228,,ต.หนองสาหร่าย,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
229,1,ต.ขนงพระ,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
230,,ต.โป่งตาลอง,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
231,,ต.คลองม่วง,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
232,,ต.หนองน้ำแดง,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
233,,ต.วังไทร,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
234,1,ต.พญาเย็น,อ.ปากช่อง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
235,,ต.หนองบุนนาก,อ.หนองบุญมาก,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
236,,ต.สารภี,อ.หนองบุญมาก,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
237,,ต.ไทยเจริญ,อ.หนองบุญมาก,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
238,,ต.หนองหัวแรต,อ.หนองบุญมาก,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
239,,ต.แหลมทอง,อ.หนองบุญมาก,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
240,,ต.หนองตะไก้,อ.หนองบุญมาก,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
241,,ต.ลุงเขว้า,อ.หนองบุญมาก,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
242,,ต.หนองไม้ไผ่,อ.หนองบุญมาก,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
243,,ต.บ้านใหม่,อ.หนองบุญมาก,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
244,,ต.แก้งสนามนาง,อ.แก้งสนามนาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
245,,ต.โนนสำราญ,อ.แก้งสนามนาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
246,,ต.บึงพะไล,อ.แก้งสนามนาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
247,,ต.สีสุก,อ.แก้งสนามนาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
248,,ต.บึงสำโรง,อ.แก้งสนามนาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
249,,ต.โนนแดง,อ.โนนแดง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
250,,ต.โนนตาเถร,อ.โนนแดง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
251,,ต.สำพะเนียง,อ.โนนแดง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
252,,ต.วังหิน,อ.โนนแดง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
253,,ต.ดอนยาวใหญ่,อ.โนนแดง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
254,,ต.วังน้ำเขียว,อ.วังน้ำเขียว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
255,,ต.วังหมี,อ.วังน้ำเขียว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
256,,ต.ระเริง,อ.วังน้ำเขียว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
257,,ต.อุดมทรัพย์,อ.วังน้ำเขียว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
258,,ต.ไทยสามัคคี,อ.วังน้ำเขียว,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
259,,ต.สำนักตะคร้อ,อ.เทพารักษ์,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
260,,ต.หนองแวง,อ.เทพารักษ์,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
261,,ต.บึงปรือ,อ.เทพารักษ์,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
262,,ต.วังยายทอง,อ.เทพารักษ์,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
263,,ต.เมืองยาง,อ.เมืองยาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
264,,ต.กระเบื้องนอก,อ.เมืองยาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
265,,ต.ละหานปลาค้าว,อ.เมืองยาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
266,,ต.โนนอุดม,อ.เมืองยาง,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
267,,ต.สระพระ,อ.พระทองคำ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
268,,ต.มาบกราด,อ.พระทองคำ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
269,,ต.พังเทียม,อ.พระทองคำ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
270,,ต.ทัพรั้ง,อ.พระทองคำ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
271,,ต.หนองหอย,อ.พระทองคำ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
272,,ต.ขุย,อ.ลำทะเมนชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
273,,ต.บ้านยาง,อ.ลำทะเมนชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
274,,ต.ช่องแมว,อ.ลำทะเมนชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
275,,ต.ไพล,อ.ลำทะเมนชัย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
276,,ต.เมืองพะไล,อ.บัวลาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
277,,ต.โนนจาน,อ.บัวลาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
278,,ต.บัวลาย,อ.บัวลาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
279,,ต.หนองหว้า,อ.บัวลาย,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
280,,ต.สีดา,อ.สีดา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
281,,ต.โพนทอง,อ.สีดา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
282,,ต.โนนประดู่,อ.สีดา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
283,,ต.สามเมือง,อ.สีดา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
284,,ต.หนองตาดใหญ่,อ.สีดา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
285,,ต.ช้างทอง,อ.เฉลิมพระเกียรติ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
286,,ต.ท่าช้าง,อ.เฉลิมพระเกียรติ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
287,,ต.พระพุทธ,อ.เฉลิมพระเกียรติ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
288,,ต.หนองงูเหลือม,อ.เฉลิมพระเกียรติ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
289,,ต.หนองยาง,อ.เฉลิมพระเกียรติ,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
