_id,ปี,จำนวนโรงงาน,ประเภทอุตสาหกรรม
56,2564,2,อุตสาหกรรมพลาสติก
57,2564,13,อุตสาหกรรมอโลหะ
58,2564,1,อุตสาหกรรมโลหะ
59,2564,1,อุตสาหกรรมผลิตภัณฑ์โลหะ
60,2564,2,อุตสาหกรรมเครื่องจักรกล
61,2564,0,อุตสาหกรรมไฟฟ้า
62,2564,7,อุตสาหกรรมขนส่ง
63,2564,14,อุตสาหกรรมอื่นๆ 
64,2565,81,อุตสาหกรรมการเกษตร 
65,2565,12,อุตสาหกรรมอาหาร 
66,2565,1,อุตสาหกรรมเครื่องดื่ม
67,2565,0,อุตสาหกรรมสิ่งทอ
68,2565,0,อุตสาหกรรมเครื่องแต่งกาย
69,2565,3,อุตสาหกรรมเครื่องหนัง
70,2565,7,อุตสาหกรรมไม้และผลิตภัณฑ์จากไม้ 
71,2565,1,อุตสาหกรรมเฟอร์นิเจอร์และเครื่องเรือน 
72,2565,0,อุตสาหกรรมกระดาษและผลิตภัณฑ์จากกระดาษ
73,2565,0,อุตสาหกรรมสิ่งพิมพ์
74,2565,3,อุตสาหกรรมเคมี
75,2565,3,อุตสาหกรรมปิโตรเคมีและผลิตภัณฑ์
76,2565,1,อุตสาหกรรมยาง
77,2565,2,อุตสาหกรรมพลาสติก
78,2565,14,อุตสาหกรรมอโลหะ
79,2565,1,อุตสาหกรรมโลหะ
80,2565,1,อุตสาหกรรมผลิตภัณฑ์โลหะ
81,2565,2,อุตสาหกรรมเครื่องจักรกล
82,2565,0,อุตสาหกรรมไฟฟ้า
83,2565,7,อุตสาหกรรมขนส่ง
84,2565,14,อุตสาหกรรมอื่นๆ 
85,2566,77,อุตสาหกรรมการเกษตร 
86,2566,12,อุตสาหกรรมอาหาร 
87,2566,1,อุตสาหกรรมเครื่องดื่ม
88,2566,0,อุตสาหกรรมสิ่งทอ
89,2566,0,อุตสาหกรรมเครื่องแต่งกาย
90,2566,3,อุตสาหกรรมเครื่องหนัง
91,2566,7,อุตสาหกรรมไม้และผลิตภัณฑ์จากไม้ 
92,2566,1,อุตสาหกรรมเฟอร์นิเจอร์และเครื่องเรือน 
