2565.0,2568.0,2567.0,2560.0,_id,2557.0,2566.0,2559.0,2561.0,2563.0,2558.0,ตำบล,อำเภอ,รายการ,หน่วยวัด,จังหวัด,2564.0,2562.0
,,,,114,,,,,,,ต.ด่านคล้า,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,115,,,,,,,ต.ลำคอหงษ์,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,116,,,,,,,ต.เมืองปราสาท,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,117,,,,,,,ต.ดอนหวาย,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,118,,,,,,,ต.ลำมูล,อ.โนนสูง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,119,,,,,,,ต.ขามสะแกแสง,อ.ขามสะแกแสง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,120,,,,,,,ต.โนนเมือง,อ.ขามสะแกแสง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,121,,,,,,,ต.เมืองนาท,อ.ขามสะแกแสง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,122,,,,,,,ต.ชีวึก,อ.ขามสะแกแสง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,123,,,,,,,ต.พะงาด,อ.ขามสะแกแสง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,124,,,,,,,ต.หนองหัวฟาน,อ.ขามสะแกแสง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,125,,,,,,,ต.เมืองเกษตร,อ.ขามสะแกแสง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,126,,,,,,,ต.บัวใหญ่,อ.บัวใหญ่,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,127,,,,,,,ต.ห้วยยาง,อ.บัวใหญ่,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,128,,,,,,,ต.เสมาใหญ่,อ.บัวใหญ่,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,129,,,,,,,ต.ดอนตะหนิน,อ.บัวใหญ่,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,130,,,,,,,ต.หนองบัวสะอาด,อ.บัวใหญ่,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,131,,,,,,,ต.โนนทองหลาง,อ.บัวใหญ่,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
2,2,2,2,132,2,2,2,2,2,2,ต.กุดจอก,อ.บัวใหญ่,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,2
2,2,2,1,133,,2,,1,2,,ต.ด่านช้าง,อ.บัวใหญ่,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,1
,,,,134,,,,,,,ต.ขุนทอง,อ.บัวใหญ่,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,135,,,,,,,ต.หนองแจ้งใหญ่,อ.บัวใหญ่,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,136,,,,,,,ต.ประทาย,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,137,,,,,,,ต.กระทุ่มราย,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,138,,,,,,,ต.วังไม้แดง,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,139,,,,,,,ต.ตลาดไทร,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,140,,,,,,,ต.หนองพลวง,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,141,,,,,,,ต.หนองคาย,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,142,,,,,,,ต.หันห้วยทราย,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,143,,,,,,,ต.ดอนมัน,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,144,,,,,,,ต.นางรำ,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,145,,,,,,,ต.โนนเพ็ด,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,146,,,,,,,ต.ทุ่งสว่าง,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,147,,,,,,,ต.โคกกลาง,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,148,,,,,,,ต.เมืองโดน,อ.ประทาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,149,,,,,,,ต.เมืองปัก,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,150,,,,,,,ต.ตะคุ,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,151,1,1,1,1,1,1,ต.โคกไทย,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,152,,,,,,,ต.สำโรง,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,153,,,,,,,ต.ตะขบ,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,154,,,,,,,ต.นกออก,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,155,,,,,,,ต.ดอน,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,156,,,,,,,ต.ตูม,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,157,,1,1,1,1,,ต.งิ้ว,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,158,,,,,,,ต.สะแกราช,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,159,,,,,,,ต.ลำนางแก้ว,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,160,,,,,,,ต.ภูหลวง,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,161,,,,,,,ต.ธงชัยเหนือ,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,162,,,,,,,ต.สุขเกษม,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,163,,,,,,,ต.เกษมทรัพย์,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,164,,,,,,,ต.บ่อปลาทอง,อ.ปักธงชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,165,,,,,,,ต.ในเมือง,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,166,,,,,,,ต.สัมฤทธิ์,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,167,,,,,,,ต.โบสถ์,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,168,,,,,,,ต.กระเบื้องใหญ่,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,169,,,,,,,ต.ท่าหลวง,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,170,,,,,,,ต.รังกาใหญ่,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,171,,,,,,,ต.ชีวาน,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,172,,,,,,,ต.นิคมสร้างตนเอง,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,173,,,,,,,ต.กระชอน,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,174,,,,,,,ต.ดงใหญ่,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,175,,,,,,,ต.ธารละหลอด,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
3,3,3,,176,,3,,,1,,ต.หนองระเวียง,อ.พิมาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,177,,,,,,,ต.ห้วยแถลง,อ.ห้วยแถลง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,178,,,,,,,ต.ทับสวาย,อ.ห้วยแถลง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,179,,,,,,,ต.เมืองพลับพลา,อ.ห้วยแถลง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,180,,,,,,,ต.หลุ่งตะเคียน,อ.ห้วยแถลง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,181,,,,,,,ต.หินดาด,อ.ห้วยแถลง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,182,,,,,,,ต.งิ้ว,อ.ห้วยแถลง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,183,,,,,,,ต.หงรถ,อ.ห้วยแถลง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,184,,,,,,,ต.หลุ่งประดู่,อ.ห้วยแถลง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,185,,,,,,,ต.ตะโก,อ.ห้วยแถลง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,186,,,,,,,ต.ห้วยแคน,อ.ห้วยแถลง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,187,,,,,,,ต.ชุมพวง,อ.ชุมพวง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,188,,,,,,,ต.ประสุข,อ.ชุมพวง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,1,,,189,,,,,,,ต.ท่าลาด,อ.ชุมพวง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,190,,,,,,,ต.สาหร่าย,อ.ชุมพวง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,191,,,,,,,ต.ตลาดไทร,อ.ชุมพวง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,192,,,,,,,ต.โนนรัง,อ.ชุมพวง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,193,,,,,,,ต.หนองหลัก,อ.ชุมพวง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,194,,,,,,,ต.โนนตูม,อ.ชุมพวง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,,195,,1,,1,1,,ต.โนนยอ,อ.ชุมพวง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
1,1,1,,196,,1,,,1,,ต.สูงเนิน,อ.สูงเนิน,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,
,,,,197,,,,,,,ต.เสมา,อ.สูงเนิน,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,198,,,,,,,ต.โคราช,อ.สูงเนิน,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,199,,,,,,,ต.บุ่งขี้เหล็ก,อ.สูงเนิน,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,200,,,,,,,ต.โนนค่า,อ.สูงเนิน,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,201,,,,,,,ต.โค้งยาง,อ.สูงเนิน,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,202,1,1,1,1,1,1,ต.มะเกลือเก่า,อ.สูงเนิน,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,203,,,,,,,ต.มะเกลือใหม่,อ.สูงเนิน,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,4,2,,204,,2,,,,,ต.นากลาง,อ.สูงเนิน,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,,205,,1,,,1,,ต.หนองตะไก้,อ.สูงเนิน,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,
,,,,206,,,,,,,ต.กุดจิก,อ.สูงเนิน,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,207,,,,,,,ต.ขามทะเลสอ,อ.ขามทะเลสอ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
3,4,4,2,208,1,4,2,2,3,1,ต.โป่งแดง,อ.ขามทะเลสอ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,3,3
,,,,209,,,,,,,ต.พันดุง,อ.ขามทะเลสอ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,210,,,,,,,ต.หนองสรวง,อ.ขามทะเลสอ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,211,,1,1,1,1,,ต.บึงอ้อ,อ.ขามทะเลสอ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
1,2,2,,212,,2,,1,1,,ต.สีคิ้ว,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
2,2,2,2,213,1,2,2,2,2,1,ต.บ้านหัน,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,2
1,1,1,1,214,,1,,1,1,,ต.กฤษณา,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
1,1,1,,215,,1,,,1,,ต.ลาดบัวขาว,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,
1,1,1,,216,,1,,,,,ต.หนองหญ้าขาว,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,
,,,,217,,,,,,,ต.กุดน้อย,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,,218,,1,,1,1,,ต.หนองน้ำใส,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,219,,,,,,,ต.วังโรงใหญ่,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,,220,,1,,,1,,ต.มิตรภาพ,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
2,2,2,1,221,,2,,1,1,,ต.คลองไผ่,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,222,,,,,,,ต.ดอนเมือง,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,223,,,,,,,ต.หนองบัวน้อย,อ.สีคิ้ว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,,224,,1,,,,,ต.ปากช่อง,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,
,,,,225,,,,,,,ต.กลางดง,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,226,,,,,,,ต.จันทึก,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,227,,,,,,,ต.วังกะทะ,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
