จำนวน,_id,ปี,หน่วยวัด,ไตรมาส,ผู้ไม่อยู่ในแรงงาน
"52,560",88,2567,คน,2,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
"3,093",89,2567,คน,2,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"7,718",90,2567,คน,2,อื่น ๆ
"23,760",91,2567,คน,3,ทำงานบ้าน
"30,114",92,2567,คน,3,เรียนหนังสือ
"52,614",93,2567,คน,3,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
"3,324",94,2567,คน,3,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"8,671",95,2567,คน,3,อื่น ๆ
,96,,,,
,97,,,,
,98,,,,
,99,,,,
,100,,,,
