ค่าข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,102,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการให้เช่า,มหาสารคาม,คัน
"241,147",สำนักงานขนส่งจังหวัดมหาสารคาม,103,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์,มหาสารคาม,คัน
"8,671",สำนักงานขนส่งจังหวัดมหาสารคาม,104,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถแทรกเตอร์,มหาสารคาม,คัน
103,สำนักงานขนส่งจังหวัดมหาสารคาม,105,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถบดถนน,มหาสารคาม,คัน
658,สำนักงานขนส่งจังหวัดมหาสารคาม,106,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถใช้งานเกษตรกรรม,มหาสารคาม,คัน
6,สำนักงานขนส่งจังหวัดมหาสารคาม,107,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถพ่วง,มหาสารคาม,คัน
43,สำนักงานขนส่งจังหวัดมหาสารคาม,108,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์สาธารณะ,มหาสารคาม,คัน
"379,274",สำนักงานขนส่งจังหวัดมหาสารคาม,109,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รวมยอด,มหาสารคาม,คัน
"59,370",สำนักงานขนส่งจังหวัดมหาสารคาม,110,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,มหาสารคาม,คัน
"2,101",สำนักงานขนส่งจังหวัดมหาสารคาม,111,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,มหาสารคาม,คัน
"65,988",สำนักงานขนส่งจังหวัดมหาสารคาม,112,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บรรทุกส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,113,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สามล้อส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,114,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างระหว่างจังหวัด,มหาสารคาม,คัน
18,สำนักงานขนส่งจังหวัดมหาสารคาม,115,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,116,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สี่ล้อเล็กรับจ้าง,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,117,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างสามล้อ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,118,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการธุรกิจ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,119,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการทัศนาจร,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,120,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการให้เช่า,มหาสารคาม,คัน
"242,561",สำนักงานขนส่งจังหวัดมหาสารคาม,121,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์,มหาสารคาม,คัน
"8,427",สำนักงานขนส่งจังหวัดมหาสารคาม,122,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถแทรกเตอร์,มหาสารคาม,คัน
108,สำนักงานขนส่งจังหวัดมหาสารคาม,123,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถบดถนน,มหาสารคาม,คัน
