FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
-,20500000125430,จ3-2(1)-1/43ชม,ฝาง,เชียงใหม่,บริษัท เชียงรายฟูด จำกัด,7,550,บริษัท เชียงรายฟูด จำกัด,ผลิตต้นหอมอบแห้ง,ดำเนินกิจการ,2023-04-18T21:00:05,99.11546,943,19.79206,-,แม่งอน
-,10520000125430,3-8(1)-1/43ลป,ห้างฉัตร,ลำปาง,บริษัท มาเจสติค อุตสาหกรรมอาหาร จำกัด,1,551,บริษัท มาเจสติค อุตสาหกรรมอาหาร จำกัด,ผลิตผักผลไม้บรรจุกระป๋องและเครื่องปรุงรสบรรจุภาชนะ เช่น ซีอิ๊ว ซอส,ดำเนินกิจการ,2023-04-18T21:00:05,99.37953,268,18.3442,-,หนองหล่ม
NULL,20550000325431,จ3-14-3/43นน,ปัว,น่าน,นางสาวกัตติกา วีระวงศ์,1,552,ร้านปัวนครพาณิชย์,ทำน้ำแข็งก้อนเล็ก ได้วันละ 4 ตัน และน้ำดื่ม,ดำเนินกิจการ,2023-04-18T21:00:05,100.88062,89,19.18119,NULL,ปัว
NULL,20550000125435,จ3-3(4)-1/43นน,เวียงสา,น่าน,ห้างหุ้นส่วนจำกัด น่านทรายทอง,3,553,น่านทรายทอง 2,ดูด กรวด ทราย,ดำเนินกิจการ,2023-04-18T21:00:05,100.75417,NULL,18.62247,NULL,ตาลชุม
บ้านปันง้าว,20520000525439,จ3-36(1)-5/43ลป,ห้างฉัตร,ลำปาง,นายกำจรเดช ไชยนันตา,7,554,NULL,ทำเครื่องใช้ในครัวเรือน,ดำเนินกิจการ,2023-04-18T21:00:05,99.35968,287/5,18.31089,NULL,ห้างฉัตร
เชียงใหม่-ฝาง,10500000125432,3-92-1/43ชม,แม่ริม,เชียงใหม่,บริษัท ปริ๊นเซสฟูดส์ จำกัด,6,555,บริษัท ปริ๊นเซสฟูดส์ จำกัด,ผลิตผัก ผลไม้ เนื้อสัตว์ แช่แข็ง และห้องเย็น,ดำเนินกิจการ,2023-04-18T21:00:05,98.94634,199,19.03529,-,ขี้เหล็ก
NULL,20500100425433,จ3-37-4/43ชม,สันป่าตอง,เชียงใหม่,บริษัท มูเทียร่า จำกัด,11,556,บริษัท มูเทียร่า จำกัด,ประดิษฐ์ ผลิต ซ่อมแซม เครื่องเรือน เครื่องใช้ เครื่องตกแต่างภายนอก ภายในอาคารทุกชนิดจากไม้,ดำเนินกิจการ,2023-04-18T21:00:05,98.88183,144,18.60371,NULL,ยุหว่า
ฝาง-ม่อนปิ่น,20500500225425,จ3-92-2/42ชม,ฝาง,เชียงใหม่,สหกรณ์ผู้ปลูกหอมหัวใหญ่ฝาง จำกัด,1,557,สหกรณ์ผู้ปลูกหอมหัวใหญ่ฝาง จำกัด,ห้องเย็นเก็บผักและผลไม้,ดำเนินกิจการ,2023-04-18T21:00:05,99.18773,165,19.91541,NULL,ม่อนปิ่น
เชียงใหม่-ฮอด,20500900125415,จ3-63(1)-1/41ชม,หางดง,เชียงใหม่,บริษัท ภัทรอุดร จำกัด,5,558,บริษัท ภัทรอุดร จำกัด,ประกอบถังน้ำสแตนเลส,ดำเนินกิจการ,2023-04-18T21:00:05,98.91671,316,18.67616,NULL,หางดง
เชียงใหม่-ฮอด,20500300225435,จ3-58(1)-2/43ชม,หางดง,เชียงใหม่,บริษัท คิวมิกซ์ซัพพลาย จำกัด,5,559,บริษัท คิวมิกซ์ซัพพลาย จำกัด,ผลิตคอนกรีตผสมเสร็จ,ดำเนินกิจการ,2023-04-18T21:00:05,98.91176,207,18.66703,NULL,หางดง
