﻿year,work_status,quarter,_id,region,value,unit,source
2566,การรวมกลุ่ม,ไตรมาสที่ 4,150,ภาคตะวันออกเฉียงเหนือ,19.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 4,151,ภาคใต้,194.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 4,152,ภาคใต้,524.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 4,153,ภาคใต้,1937.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 4,154,ภาคใต้,1893.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,155,ภาคใต้,791.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 4,156,ภาคใต้,2.6,พันคน,สำนักงานสถิติแห่งชาติ
2568,1. นายจ้าง,ไตรมาสที่ 1/2568,157,1) กรุงเทพมหานคร,201.0,พันคน,สำนักงานสถิติแห่งชาติ
2568,2. ลูกจ้างรัฐบาล,ไตรมาสที่ 1/2568,158,1) กรุงเทพมหานคร,474.1,พันคน,สำนักงานสถิติแห่งชาติ
2568,3. ลูกจ้างเอกชน,ไตรมาสที่ 1/2568,159,1) กรุงเทพมหานคร,3414.4,พันคน,สำนักงานสถิติแห่งชาติ
2568,4. ทำงานส่วนตัว,ไตรมาสที่ 1/2568,160,1) กรุงเทพมหานคร,1341.8,พันคน,สำนักงานสถิติแห่งชาติ
2568,5. ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1/2568,161,1) กรุงเทพมหานคร,310.2,พันคน,สำนักงานสถิติแห่งชาติ
2568,1. นายจ้าง,ไตรมาสที่ 1/2568,162,2) กลาง,230.2,พันคน,สำนักงานสถิติแห่งชาติ
2568,2. ลูกจ้างรัฐบาล,ไตรมาสที่ 1/2568,163,2) กลาง,808.3,พันคน,สำนักงานสถิติแห่งชาติ
2568,3. ลูกจ้างเอกชน,ไตรมาสที่ 1/2568,164,2) กลาง,5249.1,พันคน,สำนักงานสถิติแห่งชาติ
2568,4. ทำงานส่วนตัว,ไตรมาสที่ 1/2568,165,2) กลาง,2314.5,พันคน,สำนักงานสถิติแห่งชาติ
2568,5. ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1/2568,166,2) กลาง,879.1,พันคน,สำนักงานสถิติแห่งชาติ
2568,1. นายจ้าง,ไตรมาสที่ 1/2568,167,3) ใต้,198.5,พันคน,สำนักงานสถิติแห่งชาติ
2568,2. ลูกจ้างรัฐบาล,ไตรมาสที่ 1/2568,168,3) ใต้,415.0,พันคน,สำนักงานสถิติแห่งชาติ
2568,3. ลูกจ้างเอกชน,ไตรมาสที่ 1/2568,169,3) ใต้,1355.1,พันคน,สำนักงานสถิติแห่งชาติ
2568,4. ทำงานส่วนตัว,ไตรมาสที่ 1/2568,170,3) ใต้,1708.3,พันคน,สำนักงานสถิติแห่งชาติ
2568,5. ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1/2568,171,3) ใต้,705.0,พันคน,สำนักงานสถิติแห่งชาติ
2568,6. การรวมกลุ่ม,ไตรมาสที่ 1/2568,172,3) ใต้,1.6,พันคน,สำนักงานสถิติแห่งชาติ
2568,1. นายจ้าง,ไตรมาสที่ 1/2568,173,4) ใต้ชายแดน,17.4,พันคน,สำนักงานสถิติแห่งชาติ
2568,2. ลูกจ้างรัฐบาล,ไตรมาสที่ 1/2568,174,4) ใต้ชายแดน,145.4,พันคน,สำนักงานสถิติแห่งชาติ
2568,3. ลูกจ้างเอกชน,ไตรมาสที่ 1/2568,175,4) ใต้ชายแดน,328.1,พันคน,สำนักงานสถิติแห่งชาติ
2568,4. ทำงานส่วนตัว,ไตรมาสที่ 1/2568,176,4) ใต้ชายแดน,332.3,พันคน,สำนักงานสถิติแห่งชาติ
2568,5. ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1/2568,177,4) ใต้ชายแดน,150.2,พันคน,สำนักงานสถิติแห่งชาติ
2568,1. นายจ้าง,ไตรมาสที่ 1/2568,178,5) ตะวันออก,119.4,พันคน,สำนักงานสถิติแห่งชาติ
2568,2. ลูกจ้างรัฐบาล,ไตรมาสที่ 1/2568,179,5) ตะวันออก,302.9,พันคน,สำนักงานสถิติแห่งชาติ
2568,3. ลูกจ้างเอกชน,ไตรมาสที่ 1/2568,180,5) ตะวันออก,2136.4,พันคน,สำนักงานสถิติแห่งชาติ
2568,4. ทำงานส่วนตัว,ไตรมาสที่ 1/2568,181,5) ตะวันออก,1039.5,พันคน,สำนักงานสถิติแห่งชาติ
2568,5. ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1/2568,182,5) ตะวันออก,386.9,พันคน,สำนักงานสถิติแห่งชาติ
2568,1. นายจ้าง,ไตรมาสที่ 1/2568,183,6) ตะวันออกเฉียงเหนือ,138.2,พันคน,สำนักงานสถิติแห่งชาติ
2568,2. ลูกจ้างรัฐบาล,ไตรมาสที่ 1/2568,184,6) ตะวันออกเฉียงเหนือ,926.4,พันคน,สำนักงานสถิติแห่งชาติ
2568,3. ลูกจ้างเอกชน,ไตรมาสที่ 1/2568,185,6) ตะวันออกเฉียงเหนือ,2135.0,พันคน,สำนักงานสถิติแห่งชาติ
2568,4. ทำงานส่วนตัว,ไตรมาสที่ 1/2568,186,6) ตะวันออกเฉียงเหนือ,3845.7,พันคน,สำนักงานสถิติแห่งชาติ
2568,5. ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1/2568,187,6) ตะวันออกเฉียงเหนือ,1729.6,พันคน,สำนักงานสถิติแห่งชาติ
2568,6. การรวมกลุ่ม,ไตรมาสที่ 1/2568,188,6) ตะวันออกเฉียงเหนือ,15.8,พันคน,สำนักงานสถิติแห่งชาติ
2568,1. นายจ้าง,ไตรมาสที่ 1/2568,189,7) เหนือ,116.7,พันคน,สำนักงานสถิติแห่งชาติ
