จำนวน,ชนิดพืช,_id,ปี,อำเภอ
"1,889.34",ยางพารา,210,2566,แม่สอด
419.98,ยางพารา,211,2566,พบพระ
"2,312.94",ยางพารา,212,2566,อุ้มผาง
530,ยางพารา,213,2566,วังเจ้า
"1,515.59",ลำไย,214,2566,เมืองตาก
"1,388.75",ลำไย,215,2566,บ้านตาก
"4,684.18",ลำไย,216,2566,สามเงา
10,ลำไย,217,2566,แม่ระมาด
2,ลำไย,218,2566,ท่าสองยาง
55.64,ลำไย,219,2566,แม่สอด
43.5,ลำไย,220,2566,พบพระ
2.75,ลำไย,221,2566,อุ้มผาง
"12,581.42",ลำไย,222,2566,วังเจ้า
164.25,อะโวคาโด,223,2566,เมืองตาก
2.75,อะโวคาโด,224,2566,บ้านตาก
3.76,อะโวคาโด,225,2566,สามเงา
63.5,อะโวคาโด,226,2566,แม่ระมาด
11.06,อะโวคาโด,227,2566,ท่าสองยาง
198.26,อะโวคาโด,228,2566,แม่สอด
"2,635.29",อะโวคาโด,229,2566,พบพระ
252.42,อะโวคาโด,230,2566,อุ้มผาง
36.5,อะโวคาโด,231,2566,วังเจ้า
53.75,ทุเรียน,232,2566,เมืองตาก
52.54,ทุเรียน,233,2566,บ้านตาก
61.02,ทุเรียน,234,2566,สามเงา
23,ทุเรียน,235,2566,แม่ระมาด
4,ทุเรียน,236,2566,ท่าสองยาง
252.08,ทุเรียน,237,2566,แม่สอด
"1,322.08",ทุเรียน,238,2566,พบพระ
827.02,ทุเรียน,239,2566,อุ้มผาง
96,ทุเรียน,240,2566,วังเจ้า
6.5,กล้วยหอมทอง,241,2566,เมืองตาก
1,กล้วยหอมทอง,242,2566,บ้านตาก
5,กล้วยหอมทอง,243,2566,สามเงา
1,กล้วยหอมทอง,244,2566,แม่ระมาด
2.5,กล้วยหอมทอง,245,2566,ท่าสองยาง
295.09,กล้วยหอมทอง,246,2566,แม่สอด
332.12,กล้วยหอมทอง,247,2566,พบพระ
13,กล้วยหอมทอง,248,2566,อุ้มผาง
2,กล้วยหอมทอง,249,2566,วังเจ้า
