ค่าข้อมูล,ที่มา,_id,ชื่อชุดข้อมูล,ปี,อำเภอ,หน่วยวัด
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,66,โรงงานแปรรูปสินค้าเกษตร,2566,อำเภอเขาค้อ,แห่ง
38,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,67,โรงงานแปรรูปสินค้าเกษตร,2567,อำเภอเมืองเพชรบูรณ์,แห่ง
18,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,68,โรงงานแปรรูปสินค้าเกษตร,2567,อำเภอชนแดน,แห่ง
15,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,69,โรงงานแปรรูปสินค้าเกษตร,2567,อำเภอหล่มสัก,แห่ง
10,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,70,โรงงานแปรรูปสินค้าเกษตร,2567,อำเภอหล่มเก่า,แห่ง
16,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,71,โรงงานแปรรูปสินค้าเกษตร,2567,อำเภอวิเชียรบุรี,แห่ง
13,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,72,โรงงานแปรรูปสินค้าเกษตร,2567,อำเภอศรีเทพ,แห่ง
38,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,73,โรงงานแปรรูปสินค้าเกษตร,2567,อำเภอหนองไผ่,แห่ง
25,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,74,โรงงานแปรรูปสินค้าเกษตร,2567,อำเภอบึงสามพัน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,75,โรงงานแปรรูปสินค้าเกษตร,2567,อำเภอน้ำหนาว,แห่ง
8,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,76,โรงงานแปรรูปสินค้าเกษตร,2567,อำเภอวังโป่ง,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,77,โรงงานแปรรูปสินค้าเกษตร,2567,อำเภอเขาค้อ,แห่ง
35,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,78,โรงงานแปรรูปสินค้าเกษตร,2568,อำเภอเมืองเพชรบูรณ์,แห่ง
16,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,79,โรงงานแปรรูปสินค้าเกษตร,2568,อำเภอชนแดน,แห่ง
16,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,80,โรงงานแปรรูปสินค้าเกษตร,2568,อำเภอหล่มสัก,แห่ง
10,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,81,โรงงานแปรรูปสินค้าเกษตร,2568,อำเภอหล่มเก่า,แห่ง
17,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,82,โรงงานแปรรูปสินค้าเกษตร,2568,อำเภอวิเชียรบุรี,แห่ง
13,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,83,โรงงานแปรรูปสินค้าเกษตร,2568,อำเภอศรีเทพ,แห่ง
38,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,84,โรงงานแปรรูปสินค้าเกษตร,2568,อำเภอหนองไผ่,แห่ง
25,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,85,โรงงานแปรรูปสินค้าเกษตร,2568,อำเภอบึงสามพัน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,86,โรงงานแปรรูปสินค้าเกษตร,2568,อำเภอน้ำหนาว,แห่ง
7,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,87,โรงงานแปรรูปสินค้าเกษตร,2568,อำเภอวังโป่ง,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,88,โรงงานแปรรูปสินค้าเกษตร,2568,อำเภอเขาค้อ,แห่ง
