จำนวน,_id,ปี,ระดับการศึกษา,เพศ,ไตรมาส,หน่วย
2225,121,2564,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
24130,122,2564,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
61790,123,2564,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
70960,124,2564,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 2,คน
46559,125,2564,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 2,คน
16827,126,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
,127,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
20354,128,2564,อุดมศึกษาสายวิชาการ,       ชาย                         , ไตรมาสที่ 2,คน
15630,129,2564,อุดมศึกษาสายวิชาชีพ,       ชาย                         , ไตรมาสที่ 2,คน
767,130,2564,อุดมศึกษาสายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
-,131,2564,อื่น ๆ,       ชาย                         , ไตรมาสที่ 2,คน
,132,2564,ไม่ทราบ,       ชาย                         , ไตรมาสที่ 2,คน
3516,133,2564,ไม่มีการศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
19596,134,2564,ต่ำกว่าประถมศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
50825,135,2564,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
45797,136,2564,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 2,คน
31184,137,2564,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 2,คน
9029,138,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
,139,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
36189,140,2564,อุดมศึกษาสายวิชาการ,       หญิง                        , ไตรมาสที่ 2,คน
11311,141,2564,อุดมศึกษาสายวิชาชีพ,       หญิง                        , ไตรมาสที่ 2,คน
5738,142,2564,อุดมศึกษาสายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
-,143,2564,อื่น ๆ,       หญิง                        , ไตรมาสที่ 2,คน
,144,2564,ไม่ทราบ,       หญิง                        , ไตรมาสที่ 2,คน
2558,145,2564,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
22803,146,2564,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
64333,147,2564,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
72571,148,2564,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 3,คน
42736,149,2564,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 3,คน
13557,150,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
,151,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
22586,152,2564,อุดมศึกษาสายวิชาการ,       ชาย                         , ไตรมาสที่ 3,คน
18987,153,2564,อุดมศึกษาสายวิชาชีพ,       ชาย                         , ไตรมาสที่ 3,คน
1441,154,2564,อุดมศึกษาสายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
-,155,2564,อื่น ๆ,       ชาย                         , ไตรมาสที่ 3,คน
,156,2564,ไม่ทราบ,       ชาย                         , ไตรมาสที่ 3,คน
857,157,2564,ไม่มีการศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
16621,158,2564,ต่ำกว่าประถมศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
51179,159,2564,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
47682,160,2564,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 3,คน
