_id,ลำดับ,เลขทะเบียน,ชื่อโรงงาน
541,541,10200165725627,บริษัท ว่านซิง อินดัสเทรียล จำกัด
542,542,20200001825597,ไบโอเกษตรภัณฑ์
543,543,20200001125477,บริษัท อัญชลี ฟรุ๊ต โปรดักส์ จำกัด
544,544,20200001825605,บริษัท แพรคติคัม เอนจิเนียริ่ง จำกัด
545,545,20200001125501,บริษัท เตชะมา ชลบุรี จำกัด
546,546,20200001925595,บริษัท ทวีชัยรุ่งเรือง พลาสติก จำกัด
547,547,20200001125535,บริษัท เบสทูลส์ เซอร์วิส จำกัด
548,548,10200166425656,บี.เจ.รีไซเคิล
549,549,20200002025502,บริษัท ทวิน คิวปิดส์ อินเตอร์เนชั่นแนล จำกัด
550,550,10200172625661,บริษัท พี. ธนโชค รุ่งเรือง จำกัด
551,551,10200176625626,บริษัท 331 ราชาคัลเล็ต จำกัด
552,552,20200001225491,บริษัท ห๋องจี๋ จำกัด
553,553,10200176725624,บริษัท คาเมรอน เคมิคอล (ประเทศไทย) จำกัด
554,554,20200002025551,บริษัท อีโคเวย์ จำกัด
555,555,10200189125663,บริษัท เหินฟง โฮม ลิฟวิ่ง เทคโนโลยี (ไทยแลนด์) จำกัด
556,556,20200001225574,บริษัท หงส์ไทยแพกซ์ แมนูแฟคทอรี่ จำกัด
557,557,10200200125296,เจริญชัย
558,558,20200001225582,บริษัท ศรีราชา แพ็คกิ้ง วู้ด (2013) จำกัด
559,559,20200002325530,บริษัท เปรมจิตร์ รีไซเคิล จำกัด
560,560,20200002325563,null
561,561,20200002425488,บริษัท น.วาสิกิจ จำกัด
562,562,10200200125411,บริษัท สหพงษ์เจริญ จำกัด
563,563,20200002425603,-
564,564,20200001225608,บริษัท ชัยวดี คอนกรีต จำกัด
565,565,20200001325572,บริษัท ไทยพิพากร จำกัด
566,566,20200002525634,ห้างหุ้นส่วนจำกัด ศรีรัตน ปราโมทย์
567,567,10200200225443,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด
568,568,20200001325606,บริษัท บีอาร์ที แพ็ค เทค จำกัด
569,569,20200002625574,บริษัท เรกูลัส เอนเทอร์ไพรส์ จำกัด
570,570,20200001425513,บริษัท ซีซีเอส คอร์ปอเรชั่น จำกัด
571,571,10200200325474,โรงงานปรับปรุงคุณภาพน้ำแสนสุขเหนือ
572,572,20200002625590,บริษัท กา จิน เทค จำกัด
573,573,20200002725606,บริษัท เอ-เทค พลาสแมท จำกัด
574,574,20200001425570,บริษัท บี.เอส.ทูลส์ แอนด์ เอ็นจิเนียริ่ง จำกัด
575,575,20200002825471,มานะชัย
576,576,20200001425596,บริษัท มงคลกรีน วู๊ด แอนด์ ซัพพลาย จำกัด
577,577,10200200625485,บริษัท เค ที ซี โฮม จำกัด
578,578,20200001425612,บริษัท ลี่หัว เอ็นไวรอนเมนทอล เทคโนโลยี (ไทยแลนด์) จำกัด
579,579,20200002925479,สุนันทา โพลิเมอร์
580,580,20200001525486,บริษัท พีที ประโยชน์แทรกเตอร์ จำกัด
581,581,20200002925586,บริษัท เอ็น เอส ที สตีล จำกัด
582,582,20200001625476,บริษัท มั่นคง สตีล จำกัด (มหาชน)
583,583,10200208325666,บริษัท เอ-พลา ไฮเทค จำกัด
584,584,20200003025568,บริษัท ธนาดุล พรีซิชั่น จำกัด
585,585,20200001625526,เจริญพรโลหะกิจ
586,586,20200003025592,ลี้เจริญ
587,587,20200003125574,บริษัท สยาม ฟุคาซาว่า จำกัด
588,588,20200001625567,บริษัท เทพพัฒนา รุ่งเรือง 59 จำกัด
589,589,20200003125616,บริษัท เพกาซัส เว็ลธ จำกัด
590,590,20200001625609,บริษัท จาด้าเทค อินดัสทรีส์ จำกัด
591,591,10200216825665,บริษัท เอ จิตนาเลิศ พลายวู้ด จำกัด
592,592,20200003325596,ห้างหุ้นส่วนจำกัด คุณเพื่อคุณ
593,593,20200001725599,บริษัท ฮานะ สตีล จำกัด
594,594,10200241025638,บริษัท เอ-เทค พลาสแมท จำกัด
595,595,20200003525534,บริษัท โปรเกรสพลาส จำกัด
596,596,10200253725638,บริษัท โอทีที อินเตอร์ เทคโนโลยี จำกัด
597,597,20200003725514,บริษัท มีคยอง อีเล็คทรอนิคส์ (ไทยแลนด์) จำกัด
598,598,20200001825548,บริษัท อี.เอส.สยามอินเตอร์เทค จำกัด
599,599,20200003725605,บริษัท อีซูซุ ตะวันออก ชลบุรี จำกัด
600,600,10200261325629,บริษัท เอส เอส ซี ออยล์ จำกัด
601,601,20200001925520,บริษัท อี-อาร์ยู เคมิคอล (ไทยแลนด์) จำกัด
602,602,10200272825641,บริษัท ฟอริสท์ รีนิวเอเปิ้ล รีซอร์สเซส (ไทยแลนด์) จำกัด
603,603,20200004225605,บริษัท เมฆอารี วิศวกรรม จำกัด
604,604,20200001925579,บริษัท เจริญธัญญไรซ์ จำกัด
605,605,20200004525525,จักรวาลน้ำแข็งหลอด
606,606,20200002125500,บริษัท ที ไอทีเค จำกัด
607,607,20200004625564,บริษัท ซุน คอร์ป จำกัด
608,608,20200002125609,บริษัท บี.เค.พลาสติก จำกัด
609,609,10200272925649,บริษัท ไทย พีส พัลพ์ (ไทยแลนด์) จำกัด
610,610,20200002225581,บริษัท เอช.เอช.แอล. อินเตอร์เทรด จำกัด
611,611,20200004725620,บริษัท หงส์ยิพโมลด์ จำกัด
612,612,20200004925485,บริษัท บี เอ ซี คอนกรีต จำกัด
613,613,20200004925527,บริษัท พี.อาร์.เอส.กรุ๊ป จำกัด
614,614,20200002325555,บริษัท บารมี แพค จำกัด
615,615,20200004925600,บริษัท ไคบิ แพ็ก จำกัด
616,616,10200277525626,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน)
617,617,20200002325621,บริษัท คิวเอ็ม อินเตอร์เทค จำกัด
618,618,20200005025533,บริษัท เม็ททอลลิก เอ็กซ์แพนชั่น โปรดักส์ จำกัด
619,619,20200005425584,บริษัท ภคิน แพ็คเกจจิ้ง จำกัด
620,620,20200002325654,บริษัท แกรนด์ ควอตซ์ เทค จำกัด
621,621,20200005525490,บริษัท ทีเอ็มไอ อุตสาหกรรม จำกัด
622,622,10200300125311,บริษัท ไทยโทมาโด จำกัด
623,623,20200002425470,บริษัท โชสุโคะ จำกัด
624,624,20200005525615,บ่อดิน P.T.
625,625,20200002425496,บริษัท ครอปแลนด์ อุตสาหกรรม จำกัด
626,626,20200002425587,บริษัท ซันไลท์ ซัพพลาย จำกัด
627,627,20200002425595,บริษัท บีซี 1688 วู๊ด จำกัด
628,628,20200005625662,บริษัท เอ็มเอ็ชซี กรุ๊ป ฟรีโซน จำกัด
629,629,10200340225642,บริษัท ส.ทวีทรัพย์ รีไซเคิล กรุ๊ป จำกัด
630,630,20200002525568,บริษัท เจเอฟ จำกัด
631,631,20200005725546,อู่เวชสวรรค์การาจ
632,632,20200002525592,บริษัท พี.เอส.เอ๊าท์ดอร์ โพรดัคชั่น จำกัด สาขาชลบุรี
633,633,10200344325646,ห้างหุ้นส่วนจำกัด ทรัพยา เซอร์วิส
634,634,20200005925484,บริษัท อังไถ่ จำกัด
635,635,10200399625643,บริษัท โกเทค เอ็นจิเนียริ่ง จำกัด
636,636,20200005925492,บริษัท บียูที.แมชชีน เทค จำกัด
637,637,20200002525600,บริษัท ซีเค-ฟูดส์ เอ็นเตอร์ไพรส์ จำกัด
638,638,20200006125555,บริษัท วาย เค บี (ประเทศไทย) จำกัด
639,639,10200400125328,สหพัฒนาการช่าง
640,640,20200002625582,บริษัท วาซิน อโนไดซ์ จำกัด
641,641,20200002725473,บริษัท สเปซ สโตเรจ (เอสเอเออาร์) (ประเทศไทย) จำกัด
642,642,10200400125351,บริษัท สินอนันต์พลาสติก จำกัด
643,643,20200006525580,บี-ควิก สาขาชลบุรี บายพาส
644,644,20200002725523,ห้างหุ้นส่วนจำกัด ย่งน่ำเฮง ชลบุรี
645,645,20200006525614,บริษัท จิน เบ๋า ลี่ จำกัด
646,646,10200400125369,บริษัท ฟูหลงอินดัสตรี้ จำกัด
647,647,20200002825539,-
648,648,10200400125450,บริษัท ซีเอชโอโตอินดัสตรี่ จำกัด
649,649,20200006825527,บริษัท พี แอนด์ เอ็น รีไซเคิลคอร์ปอเรชั่น จำกัด
650,650,20200002825554,บริษัท เอ็มที เซ็นเตอร์เทรด จำกัด
651,651,20200006825568,บริษัท วู๊ดเพคเกอร์ คาร์เพนเทอรี่ จำกัด
652,652,10200400125484,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด
653,653,20200002925594,ลานมัน ป.มีชัย 2
654,654,20200006825576,โรงงานคอนกรีตผสมเสร็จ หนองอิรุณ
655,655,10200404925640,ห้างหุ้นส่วนจำกัด ไทยเทค แอพพลาย เอ็นจิเนียริ่ง
656,656,20200002925610,บริษัท เกียนล็อค (ไทยแลนด์) จำกัด
657,657,20200006925517,ศ.เพิ่มพูล
658,658,20200006925566,-
659,659,20200007125497,บริษัท สมบัติพลาสติก จำกัด
660,660,20200007225503,บริษัท พลัส โฟม แพคเกจจิ้ง จำกัด
661,661,20200003025618,บี-ควิก สาขาโรบินสัน ชลบุรี
662,662,10200437625647,บริษัท ทริปเปิ้ล เอ็กซ์ กรุ๊ป จำกัด
663,663,20200007325519,บริษัท ฟู อินดัสเทรียล ซัพพลาย จำกัด
664,664,20200003025675,บริษัท รุ่ยจิน เมทัล (ประเทศไทย) จำกัด
665,665,20200003225598,บริษัท พารา เพียว ลาเท็กซ์ จำกัด
666,666,20200007325527,บริษัท ชนสิทธิ์คอนกรีต (2007) จำกัด
667,667,10200440825648,บริษัท กัปตัน คอนสตรัคชั่น แอนด์ รีไซเคิล จำกัด
668,668,20200003325588,บริษัท พีเค 168 ซัพพลาย จำกัด
669,669,20200003325612,บริษัท เอชเอพีเอ็ม แมกน่า ซีทติ้ง ซิสเทม (ไทยแลนด์) จำกัด
670,670,20200007525605,บริษัท พีพี แอนด์ พี อินเตอร์ พาร์ท จำกัด
671,671,20200003425487,บริษัท ธารารัตน์ น้ำแข็งหลอด (บึงทอง) จำกัด
672,672,10200454425640,นายชุติไชยวัฒน์ แสงเงิน
673,673,20200007625504,ห้างหุ้นส่วนจำกัด เอส แอนด์ ไอ มารีน เซอร์วิส
674,674,20200003525492,บริษัท สุนทรธัญทรัพย์ จำกัด
675,675,20200007625546,บริษัท เบทเทอร์ คอนกรีต โปรดักซ์ จำกัด
676,676,20200007925631,บริษัท ไทย ซิง ทูลส์ จำกัด
677,677,20200008125512,บริษัท วงศ์ชัย จำกัด
678,678,20200008225478,บริษัท ที เทค (ประเทศไทย) จำกัด
679,679,20200003625615,บริษัท โคตรรวย อินเตอร์พลาสท์ จำกัด
680,680,20200003725530,บริษัท ฟูจิเท็กซ์ ออโต้ อินทีเรียร์ จำกัด
681,681,20200009025521,บริษัท โบตั๋น รีไซเคิล จำกัด
682,682,20200003925593,บริษัท เค.เจ.ซี.คอนกรีต จำกัด
683,683,20200004025518,ห้างหุ้นส่วนจำกัด เจริญทวี เวิลด์ดิ้ง รีไซเคิล
684,684,20200009325525,บริษัท ชัยเมธี จำกัด
685,685,20200004025526,null
686,686,10200500225341,นำเจริญการช่าง
687,687,20200009925472,บริษัท ไมโครเมทิคส์ จำกัด
688,688,10200600125326,บริษัท เฟมเอ็นจิเนียริ่ง จำกัด
689,689,10200700125325,บริษัท สหยูเนี่ยน จำกัด (มหาชน)
690,690,10200700125374,บริษัท ยูเอ็มซีเม็ททอล จำกัด
691,691,10200800125332,บริษัท สหกลและบริการศรีราชา จำกัด
692,692,10200800125365,บริษัท ชินเฮือง จำกัด
693,693,10201300125343,บริษัท ไทยวันเดอร์ฟูล วาย เคเบิล จำกัด
694,694,10201400125409,บริษัท ซิตี้ สตีล จำกัด (มหาชน)
695,695,10201500125408,บริษัท ทะเลทอง แฟคตอรี่ จำกัด
696,696,20200004025591,บริษัท ป.เจริญพันธ์อาหารสัตว์ จำกัด
697,697,20200010125633,บริษัท โฮม ยูเดคคอเรชั่น อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด
698,698,20200004125581,-
699,699,20200004325611,บริษัท เซินฮู จำกัด
700,700,20200010425553,บริษัท วลิน อินเตอร์ยนต์ จำกัด
701,701,20200004525491,บริษัท ดี.เอ็น.อินดัสตรี่ จำกัด
702,702,20200004625523,บริษัท แปซิฟิค รับเบอร์เวิร์คส์ จำกัด
703,703,20200010425579,บริษัท พีเค 168 ซัพพลาย จำกัด
704,704,20200004625614,บริษัท บึงทอง เทค จำกัด
705,705,20200004725547,บริษัท ท็อป พลาสติก จำกัด
706,706,20200010525618,บริษัท แก้วบุญมา พลาสติก จำกัด
707,707,20200004725653,บริษัท เอเอ็นอาร์โร อินดัสทรี จำกัด
708,708,20200010525675,บริษัท เคนมิน ฟู้ดส์ (ไทยแลนด์) จำกัด
709,709,20200004925576,บริษัท พณิชชา กรุ๊ป (2006) จำกัด
710,710,20200010725564,-
711,711,20200004925584,ห้างหุ้นส่วนจำกัด ชลบุรีธารทิพย์
712,712,20200010825513,บริษัท ฮ.ภัณฑสินพัฒนาคอนกรีต จำกัด
713,713,20200005025582,บริษัท พี.วี.เอส พลาสติก จำกัด
714,714,20200005125507,บริษัท หนองรี การาจ จำกัด
715,715,20200010925602,บริษัท ไทย เทค แมชชีน ดีไซน์ จำกัด
716,716,20200005225471,บริษัท เอ็น.อี.ซี.คอนกรีต จำกัด
717,717,20200005225505,บริษัท ไจก้า เวส แมนเนจเม้นท์ จำกัด
718,718,20200011025600,บริษัท แซมโก้ จำกัด
719,719,20200005225570,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด
720,720,20200011225481,บริษัท เอส-คอน คอนกรีต จำกัด
721,721,20200005325669,บริษัท เอ็มเอ็ชซี กรุ๊ป ฟรีโซน จำกัด
722,722,20200011225549,บริษัท ชนสิทธิ์ คอนกรีต (2007) จำกัด
723,723,20200005925518,บริษัท กำไรทองรุ่งเรือง จำกัด
724,724,20200011325620,บริษัท ส.สมบุญทรัพย์ จำกัด
725,725,20200005925591,บริษัท ซาร์คอน (ทีเอช) จำกัด
726,726,20200011425511,บริษัท หยงยู่ วู้ด อินดัสทรี จำกัด
727,727,20200006025615,บริษัท เอ็มพี แมนูแฟคเจอริง (ประเทศไทย) จำกัด
728,728,20200006125571,บริษัท แกแลคซี่ คอนเทนเนอร์ จำกัด
729,729,20200011725548,บ่อทราย แซนด์สยาม
730,730,20200006125605,บริษัท เอ็ม.บี.เจ.เอ็นเตอร์ไพรส์ จำกัด
731,731,20200012525509,บริษัท โอ อาร์ ซี พรีเมียร์ จำกัด
732,732,20200006425534,บริษัท ศรีตะวัน พลาส พรีซิชั่น จำกัด
733,733,20200012625580,บริษัท โตโยต้า จี เอ็น ดี ชลบุรี จำกัด
734,734,20200006425583,บริษัท เจ คอม จำกัด
735,735,20200012725612,บริษัท 99 กะรัตคอนกรีต จำกัด
736,736,20200006625570,บริษัท บี.เอส.ทูลส์ แอนด์ เอ็นจิเนียริ่ง จำกัด
737,737,20200013125481,บริษัท ชลบุรี ฟอร์คลิฟท์ เอเชีย จำกัด
738,738,20200006725560,บริษัท แดจิไทย จำกัด
739,739,20200013225588,-
740,740,20200006825600,บริษัท วี แอนด์ บี พรีซีชั่น จำกัด
741,741,20200013325586,-
742,742,20200007025523,null
743,743,20200013725512,บริษัท จัวปภารีไซเคิลสหรุ่งเรือง จำกัด
744,744,20200007125570,บริษัท เอ็มพาวเวอร์ เอ็นจิเนียริ่ง จำกัด
745,745,20200013825502,บริษัท บัวทองผลิตภัณฑ์คอนกรีต จำกัด
746,746,20200008025597,-
747,747,20200000125551,บริษัท หลินหยวน จำกัด
748,748,20200014725537,บริษัท ไอซีเอ็ม เทคโนโลยี่ (ประเทศไทย) จำกัด
749,749,20200008425631,บริษัท หงฟา เทคโนโลยี (ไทยแลนด์) จำกัด
750,750,20200000225351,ห้างหุ้นส่วนจำกัด เกิดประสพสุข ฟาร์ม 1
751,751,20200014725560,-
752,752,20200009225501,บริษัท เค.เอส.มาสเตอร์ จำกัด
753,753,20200000225401,บริษัท พาราวู้ด ดีไซน์ อินดัสทรีส์ จำกัด
754,754,20200009225519,ดีเจริญค้าของเก่า
755,755,20200014725586,-
756,756,20200000225450,บริษัท ที.ที.อาร์.รับเบอร์ จำกัด
757,757,20200009325590,บริษัท ลลิล พร็อพเพอร์ตี้ จำกัด (มหาชน)
758,758,20200014925624,บริษัท หยวนอัน รีไซเคิล จำกัด
759,759,20200000225492,บริษัท ฟอร์มิ่ง โปร จำกัด
760,760,20200015025622,บริษัท บุรีรัมย์ธงชัยก่อสร้าง จำกัด
761,761,20200000225518,บริษัท เอ็นเอสที ไบโอเทคโนโลยี จำกัด
762,762,20200000325359,ห้างหุ้นส่วนจำกัด บายพาสค้าไม้
763,763,20200009425614,ห้างหุ้นส่วนจำกัด สมชาย โฮม เฟอร์นิเจอร์
764,764,20200000325433,ล้อฮะฮวด
765,765,20200015125570,บริษัท ทรีสตาร์ พลัส อินดัสตรี จำกัด
766,766,20200009725567,บริษัท ไทยยนต์ชลบุรี ผู้จำหน่ายโตโยต้า จำกัด
767,767,20200015225503,บริษัท บี.ที.พัฒนา จำกัด
768,768,20200009825565,-
769,769,20200000325482,บริษัท บางแสนมหานคร ผลิตภัณฑ์คอนกรีต จำกัด
770,770,20200015425566,-
771,771,20200010225664,บริษัท พีเค พลัส พลาสติก จำกัด
772,772,20200000325557,บริษัท เค.เอ็ม.พี.ไบโอเทค จำกัด
773,773,20200010425587,ห้างหุ้นส่วนจำกัด ป.นครทรายทอง
774,774,20200015825559,บริษัท ยูเนี่ยน แอพพลาย จำกัด
775,775,20200000325607,ห้างหุ้นส่วนจำกัด กระจ่างรุ่งเรือง 999
776,776,20200016025571,บริษัท ยูนิคอน มารีนคอนกรีต จำกัด
777,777,20200010525576,บริษัท คริสเตียนีและนีลเส็น (ไทย) จำกัด (มหาชน)
778,778,20200016125587,บริษัท ดิ อินฟินิท ผลิตภัณฑ์คอนกรีต จำกัด
779,779,20200000425563,ห้างหุ้นส่วนจำกัด เอสดับบลิวพี อินโนแพค
780,780,20200000425597,บริษัท ดับบลิวเอส เอวิเอชั่น เซอร์วิส จำกัด
781,781,20200016425508,ส.ชุมพลรีไซเคิล
782,782,20200016925515,บริษัท ดวงสมพงการค้า จำกัด
783,783,20200000525578,สิริโชติ รีไซเคิล
784,784,20200010525634,บริษัท สยาม เคเจ วิศวกรรม จำกัด
785,785,20200000525594,บริษัท ควอลิตี้ สตีล จำกัด
786,786,20200000625386,บริษัท เอส.ที.ซี.คอนกรีตโปรดักท์ จำกัด
787,787,20200011125475,บริษัท เอ็กเซลเล็นซ์ (1992) จำกัด
788,788,20200017525504,บริษัท เซ็ท อินดัสตรี จำกัด
789,789,20200011425529,ห้างหุ้นส่วนจำกัด บุญอุดม รีไซเคิ้ล
790,790,20200000625485,บริษัท ซี เอ็น ซี เอ็นจิเนียริ่ง โปรดักส์ จำกัด
791,791,20200017825532,บริษัท ท็อป เวิลด์ อินดัสทรี จำกัด
792,792,20200011425636,บริษัท โอเวอร์ซี ดีโพ จำกัด
793,793,20200000625576,บริษัท เอส.ที.ดับบลิว เอ็นจิเนียริ่ง จำกัด
794,794,20200018625543,บริษัท เอ.ดับบลิว.วู้ดเทค จำกัด
795,795,20200018625550,บริษัท โตโยต้าพัทยา (1998) จำกัด
796,796,20200011525518,บริษัท อัครชัย เทคเกอร์ จำกัด
797,797,20200000725400,บริษัท สหชัยผลิตภัณฑ์คอนกรีต จำกัด
798,798,20200019025610,บริษัท เอส.เจ.ซี. คอนกรีต จำกัด
799,799,20200012125623,ห้างหุ้นส่วนจำกัด บีพี เอ็นจิเนียริ่ง แอนด์ ทูลส์
800,800,20200012225514,บริษัท กฤษโลหะ จำกัด
801,801,20200000725509,บริษัท พลังงานสุขสมบูรณ์ จำกัด
802,802,20200019925561,-
803,803,20200012325504,บริษัท โตโยต้าพัทยา (1998) จำกัด สาขาศรีราชา
804,804,20200020025567,-
805,805,20200000725582,-
806,806,20200020625606,-
807,807,20200000725632,บริษัท ท้อปเทร็นด์ แมนูแฟคเจอริ่ง จำกัด
808,808,20200012725604,-
809,809,20200012825529,เพิ่มทรัพย์ รีไซเคิล
810,810,20200000825465,บริษัท วิชั่นกลาส อินดัสทรีส์ จำกัด
811,811,20200020825511,บริษัท เค.พี.เอส.รีไซเคิ้ล จำกัด
812,812,20200013425584,-
813,813,20200000825549,ห้างหุ้นส่วนจำกัด อุดม สุริยะ แอนด์ พาร์เลท
814,814,20200021625613,บริษัท พบธรรมเจริญรุ่งเรือง เซอร์วิส จำกัด
815,815,20200013425592,บริษัท ชลบุรี ไมนิ่ง จำกัด
816,816,20200000825556,-
817,817,20200021825510,บริษัท ออโต้โซน จำกัด
818,818,20200021925500,บริษัท นัน รีไซเคิล จำกัด
819,819,20200022725503,บริษัท คราฟท์ แอนด์ เปเปอร์มิลล์ จำกัด
820,820,20200023225511,บ่อทรายประสาร
821,821,20200000925398,บริษัท เอส.พี.ที.คอนกรีต จำกัด
822,822,20200013525573,-
823,823,20200024025563,-
824,824,20200013825585,บริษัท เยอรมันออโต้ จำกัด
825,825,20200000925539,บริษัท เจ.ซี.มารีน เซอร์วิส จำกัด
826,826,20200024125660,บริษัท น่ำเฮงคอนกรีต (1992) จำกัด
827,827,20200013925617,บริษัท ชลบุรีรถเล็ก-รถใหญ่ จำกัด
828,828,20200024325518,บริษัท ทวีชัยอุตสาหกรรมเหล็ก จำกัด
829,829,20200000925547,บริษัท รี เวสต์ แอนด์ เซอร์วิส จำกัด
830,830,20200014025664,บริษัท ทองไพบูลย์บรรจุภัณฑ์ จำกัด
831,831,20200000925588,บริษัท สิริ เคมิคอล อินดัสตรี้ จำกัด
832,832,20200025125636,บริษัท ไลฟ์ เปเปอร์ จำกัด
833,833,20200015125612,บริษัท เอเซีย รีไซเคิล แอนด์ เซอร์วิส จำกัด
834,834,20200000925679,บริษัท เจี๋ยเซ่ง พลาสติก จำกัด
835,835,20200001025503,บริษัท พนมไพร พรีซิชั่น จำกัด
836,836,20200015325543,บริษัท ไอทีโอเอ ออโต้ เซลส์ จำกัด
837,837,20200025325608,-
838,838,20200015425483,บริษัท ศรจินดา สหกิจ จำกัด
839,839,20200025525538,บริษัท อัครโอฬาร (1996) จำกัด
840,840,20200027025487,บริษัท ชลบุรีจิตต์ประเสริฐ จำกัด
841,841,20200016725584,บริษัท มาสด้า ชลบุรี จำกัด (มหาชน)
842,842,20200027125618,บ่อดิน ส.สุขปิติ
843,843,20200016925564,โรงงานคอนกรีตผสมเสร็จหนองใหญ่
844,844,20200001225475,บริษัท เอส เค แอนด์ เค เทคโนโลยี จำกัด
845,845,20200027925637,บริษัท ซูเปอร์ดราย จำกัด
846,846,20200017025539,null
847,847,20200001225517,-
848,848,20200001225616,ซี เอส เอส
849,849,20200017425507,บริษัท พนมกรณ์ เมทัล จำกัด
850,850,20200017525496,บริษัท พีอาร์ พรีซิชั่น จำกัด
851,851,20200001325481,บริษัท เซอิซิน จำกัด
852,852,20200017625569,บ่อทรายวงศ์ทวี
853,853,20200028025593,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด
854,854,20200028225631,บริษัท พีทีเค เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด
855,855,20200017925548,บริษัท เตชะมา ชลบุรี จำกัด
856,856,20200028425561,บ่อทราย จันทร์ฉาย
857,857,20200018725541,บริษัท ดีลักซ์ แอนด์ เดคคอร์ จำกัด
858,858,20200028725614,บริษัท ม้าดำ จำกัด
859,859,20200018825481,บริษัท ยูด์ เซิ่ง จำกัด
860,860,20200029425610,-
861,861,20200001525502,บริษัท เบสท์เมทัลเวอร์ค จำกัด
862,862,20200019325606,บริษัท สแกนสยาม บริการ จำกัด
863,863,20200019625583,บริษัท คิวมิกซ์ ซัพพลาย จำกัด
864,864,20200001525601,บริษัท เนาวบุตร พรีซิชั่น จำกัด
865,865,20200019825563,null
866,866,20200031325485,บริษัท มาสด้า ชลบุรี จำกัด (มหาชน)
867,867,20200020625598,บริษัท วิคเตอร์ พร็อพเพอร์ตี้ กรุ๊ป จำกัด
868,868,20200001625492,บริษัท ไทย อันเป่า ผลิตภัณฑ์กระดาษ จำกัด
869,869,20200020725596,บริษัท วิคเตอร์ พร็อพเพอร์ตี้ กรุ๊ป จำกัด
870,870,20200031925482,บริษัท มิตซูคาร์สแอนด์เซอร์วิส จำกัด
871,871,20200020825560,บริษัท ยูดี ทรัคส์ คอร์ปอเรชั่น (ประเทศไทย) จำกัด
872,872,20200022025508,บริษัท โตโยต้า อินเตอร์ยนต์ชลบุรี (1999) จำกัด
873,873,20200022425518,บริษัท ไทยยนต์ชลบุรี ผู้จำหน่ายโตโยต้า จำกัด
874,874,20200001625617,บริษัท ตงหง จำกัด
875,875,20200022625588,โรงงานคอนกรีตผสมเสร็จหนองไผ่แก้ว
876,876,20200001725516,โกเฮงชลบุรี
877,877,20200032325567,-
878,878,20200023125588,บริษัท กอบโชคธุรกิจทราย จำกัด
879,879,20200002025577,ห้างหุ้นส่วนจำกัด บุญอุดม รีไซเคิ้ล
880,880,20200024225510,บริษัท เอส. เอ. คอนแทรคติ้ง จำกัด
881,881,20200024425573,บริษัท แอล เอฟ เฟอร์นิเจอร์ จำกัด
882,882,20200034925638,บริษัท พูลผลทวีพูล จำกัด
883,883,20200024825608,บริษัท อ๊าออโต้การาจ จำกัด
884,884,20200002025650,บริษัท โรงโม่หินย่งล้ง ชลบุรี จำกัด
885,885,20200026125668,บริษัท จีแอล ท็อป สโตน จำกัด
886,886,20200035625658,ห้างหุ้นส่วนจำกัด ซี.เอ.ศูนย์ซ่อมรถยนต์
887,887,20200026525669,บริษัท ดาวัง พรีซิสชั่น เทคโนโลยี (ประเทศไทย) จำกัด
888,888,20200026625576,บริษัท ฮ้อธนดล 2555 จำกัด
889,889,20200037825488,-
890,890,20200026725624,บริษัท เอสดีเอ็น อินดัสเตรียล เคมิคอล จำกัด
891,891,20200002125534,บริษัท เอส.ซี.เค.พาล์เลท จำกัด
892,892,20200037925650,บริษัท เค.พี.เอส. รีไซเคิ้ล จำกัด
893,893,20200028025601,-
894,894,20200029425628,บริษัท เจ.เจ.คอยล์เซ็นเตอร์ จำกัด
895,895,20200002225482,บริษัท เอคเซลเลนท์ แมนูแฟคเจอร์ริ่ง (ประเทศไทย) จำกัด
896,896,20200040525620,บริษัท บุรีรัมย์ธงชัยก่อสร้าง จำกัด
897,897,20200032325633,บริษัท จุนโม๋ พรีซิชั่น อินดัสทรี (ไทยแลนด์) จำกัด
898,898,20200002225490,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งบางละมุง
899,899,20200032825558,บริษัท เอ็ม ดี เอส เทคโนโลยี จำกัด
900,900,20200041125487,บริษัท กนกเฟอร์นิเจอร์ แอนด์ เดคคอเรชั่น จำกัด
901,901,20200034725574,-
902,902,20200044925669,บริษัท ซีพีเอส พาร์ท ซัพพลาย จำกัด
903,903,20200002225532,บริษัท ปราโมทย์โลหะกิจ จำกัด
904,904,20200002225615,บริษัท ซี.เค.กรุ๊ป อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด
905,905,20200002325472,บริษัท ห้งง้วน จำกัด
906,906,20200002425538,บริษัท เยทา จำกัด
907,907,20200002525477,บริษัท กิมป้อน้ำแข็งหลอด จำกัด
908,908,20200045325653,บริษัท เด็คส์เตอร์ อินดัสทรี จำกัด
909,909,20200036025577,บริษัท ดินและทราย จำกัด
910,910,20200046325652,ห้างหุ้นส่วนจำกัด กัญญาวีร์ คอนสตรัคชั่น
