จำนวน,_id,ปี,รายการ,ชนิดของพืชผัก
248,229,2566,เนื้อที่เพาะปลูก (ไร่),คะน้า
248,230,2566,เนื้อที่เก็บเกี่ยว (ไร่),คะน้า
206.58,231,2566,ผลผลิต (ตัน),คะน้า
833,232,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),คะน้า
442,233,2566,เนื้อที่เพาะปลูก (ไร่),ชะอม
442,234,2566,เนื้อที่เก็บเกี่ยว (ไร่),ชะอม
88.4,235,2566,ผลผลิต (ตัน),ชะอม
200,236,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),ชะอม
130,237,2566,เนื้อที่เพาะปลูก (ไร่),แตงกวา
130,238,2566,เนื้อที่เก็บเกี่ยว (ไร่),แตงกวา
103.35,239,2566,ผลผลิต (ตัน),แตงกวา
795,240,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),แตงกวา
540,241,2566,เนื้อที่เพาะปลูก (ไร่),ถั่วฝักยาว
540,242,2566,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วฝักยาว
99.9,243,2566,ผลผลิต (ตัน),ถั่วฝักยาว
185,244,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วฝักยาว
10,245,2566,เนื้อที่เพาะปลูก (ไร่),ถั่วพู
10,246,2566,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วพู
5,247,2566,ผลผลิต (ตัน),ถั่วพู
500,248,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วพู
24,249,2566,เนื้อที่เพาะปลูก (ไร่),บวบ
24,250,2566,เนื้อที่เก็บเกี่ยว (ไร่),บวบ
12.62,251,2566,ผลผลิต (ตัน),บวบ
526,252,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),บวบ
41,253,2566,เนื้อที่เพาะปลูก (ไร่),ผักชี
41,254,2566,เนื้อที่เก็บเกี่ยว (ไร่),ผักชี
43.87,255,2566,ผลผลิต (ตัน),ผักชี
1070,256,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),ผักชี
16,257,2566,เนื้อที่เพาะปลูก (ไร่),พริกใหญ่
16,258,2566,เนื้อที่เก็บเกี่ยว (ไร่),พริกใหญ่
2.77,259,2566,ผลผลิต (ตัน),พริกใหญ่
173,260,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกใหญ่
255,261,2566,เนื้อที่เพาะปลูก (ไร่),พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน)
255,262,2566,เนื้อที่เก็บเกี่ยว (ไร่),พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน)
33.15,263,2566,ผลผลิต (ตัน),พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน)
130,264,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน)
