พื้นที่เก็บเกี่ยว,ราคาหน้าฟาร์ม,หน่วย(บาท_ตัน),ครัวเรือนเกษตรกร,หน่วย(บาท),ปริมาณผลผลิต,_id,ปี,หน่วย(ไร่),หน่วย(ตัน),อำเภอ,มูลค่า,พืชเศรษฐกิจ,หน่วย(ครัวเรือน)
623,46618,บาท_ตัน,39,ล้านบาท,1242,70,2567,ไร่,ตัน,เมืองนครปฐม,57.9,กล้วยไม้ตัดดอก,ครัวเรือน
66,20000,บาท_ตัน,23,ล้านบาท,78,71,2567,ไร่,ตัน,เมืองนครปฐม,1.56,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,72,2567,ไร่,ตัน,เมืองนครปฐม,0,บัวบก,ครัวเรือน
23029,9060,บาท_ตัน,1093,ล้านบาท,18019,73,2567,ไร่,ตัน,กำแพงแสน,163.25,ข้าว,ครัวเรือน
66769,1380,บาท_ตัน,2161,ล้านบาท,875295,74,2567,ไร่,ตัน,กำแพงแสน,1207.91,อ้อยโรงงาน,ครัวเรือน
41,68143,บาท_ตัน,21,ล้านบาท,70,75,2567,ไร่,ตัน,กำแพงแสน,4.77,ส้มโอ,ครัวเรือน
148,29720,บาท_ตัน,42,ล้านบาท,321,76,2567,ไร่,ตัน,กำแพงแสน,9.54,ฝรั่ง,ครัวเรือน
417,14212,บาท_ตัน,101,ล้านบาท,971,77,2567,ไร่,ตัน,กำแพงแสน,13.8,มะพร้าวอ่อน,ครัวเรือน
552,13329,บาท_ตัน,43,ล้านบาท,796,78,2567,ไร่,ตัน,กำแพงแสน,10.61,คะน้า,ครัวเรือน
677,74368,บาท_ตัน,54,ล้านบาท,2692,79,2567,ไร่,ตัน,กำแพงแสน,200.2,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,80,2567,ไร่,ตัน,กำแพงแสน,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,81,2567,ไร่,ตัน,กำแพงแสน,0,บัวบก,ครัวเรือน
27913,9890,บาท_ตัน,1634,ล้านบาท,21940,82,2567,ไร่,ตัน,นครชัยศรี,216.99,ข้าว,ครัวเรือน
36,1194,บาท_ตัน,1,ล้านบาท,720,83,2567,ไร่,ตัน,นครชัยศรี,0.86,อ้อยโรงงาน,ครัวเรือน
1159,69422,บาท_ตัน,228,ล้านบาท,1176,84,2567,ไร่,ตัน,นครชัยศรี,81.64,ส้มโอ,ครัวเรือน
1842,22050,บาท_ตัน,380,ล้านบาท,15437,85,2567,ไร่,ตัน,นครชัยศรี,340.39,ฝรั่ง,ครัวเรือน
2982,13850,บาท_ตัน,652,ล้านบาท,11673,86,2567,ไร่,ตัน,นครชัยศรี,161.67,มะพร้าวอ่อน,ครัวเรือน
3355,26670,บาท_ตัน,108,ล้านบาท,5748,87,2567,ไร่,ตัน,นครชัยศรี,153.3,คะน้า,ครัวเรือน
1841,51309,บาท_ตัน,0,ล้านบาท,3933,88,2567,ไร่,ตัน,นครชัยศรี,201.8,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,89,2567,ไร่,ตัน,นครชัยศรี,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,90,2567,ไร่,ตัน,นครชัยศรี,0,บัวบก,ครัวเรือน
13715,9570,บาท_ตัน,1096,ล้านบาท,10994,91,2567,ไร่,ตัน,ดอนตูม,105.21,ข้าว,ครัวเรือน
20,1000,บาท_ตัน,3,ล้านบาท,20,92,2567,ไร่,ตัน,ดอนตูม,0.02,อ้อยโรงงาน,ครัวเรือน
175,0,บาท_ตัน,9,ล้านบาท,0,93,2567,ไร่,ตัน,ดอนตูม,0,ส้มโอ,ครัวเรือน
71,24625,บาท_ตัน,27,ล้านบาท,307,94,2567,ไร่,ตัน,ดอนตูม,7.56,ฝรั่ง,ครัวเรือน
3517,14789,บาท_ตัน,92,ล้านบาท,1376,95,2567,ไร่,ตัน,ดอนตูม,20.35,มะพร้าวอ่อน,ครัวเรือน
1152,13661,บาท_ตัน,147,ล้านบาท,2363,96,2567,ไร่,ตัน,ดอนตูม,32.28,คะน้า,ครัวเรือน
430,57529,บาท_ตัน,0,ล้านบาท,1036,97,2567,ไร่,ตัน,ดอนตูม,59.6,กล้วยไม้ตัดดอก,ครัวเรือน
15,0,บาท_ตัน,20,ล้านบาท,0,98,2567,ไร่,ตัน,ดอนตูม,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,99,2567,ไร่,ตัน,ดอนตูม,0,บัวบก,ครัวเรือน
138224,10510,บาท_ตัน,6968,ล้านบาท,112819,100,2567,ไร่,ตัน,บางเลน,1185.73,ข้าว,ครัวเรือน
45,1192,บาท_ตัน,2,ล้านบาท,520,101,2567,ไร่,ตัน,บางเลน,0.62,อ้อยโรงงาน,ครัวเรือน
284,54783,บาท_ตัน,37,ล้านบาท,92,102,2567,ไร่,ตัน,บางเลน,5.04,ส้มโอ,ครัวเรือน
249,22841,บาท_ตัน,50,ล้านบาท,1619,103,2567,ไร่,ตัน,บางเลน,36.98,ฝรั่ง,ครัวเรือน
1873,15120,บาท_ตัน,170,ล้านบาท,3246,104,2567,ไร่,ตัน,บางเลน,49.08,มะพร้าวอ่อน,ครัวเรือน
2091,15351,บาท_ตัน,104,ล้านบาท,3947,105,2567,ไร่,ตัน,บางเลน,60.59,คะน้า,ครัวเรือน
3901,39790,บาท_ตัน,0,ล้านบาท,27193,106,2567,ไร่,ตัน,บางเลน,1082.01,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,107,2567,ไร่,ตัน,บางเลน,0,ขมิ้นชัน,ครัวเรือน
419,22068,บาท_ตัน,246,ล้านบาท,2461,108,2567,ไร่,ตัน,บางเลน,54.31,บัวบก,ครัวเรือน
5320,9841,บาท_ตัน,343,ล้านบาท,4021,109,2567,ไร่,ตัน,สามพราน,39.57,ข้าว,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,110,2567,ไร่,ตัน,สามพราน,0,อ้อยโรงงาน,ครัวเรือน
5281,74849,บาท_ตัน,1201,ล้านบาท,3910,111,2567,ไร่,ตัน,สามพราน,292.66,ส้มโอ,ครัวเรือน
5066,30500,บาท_ตัน,1253,ล้านบาท,9189,112,2567,ไร่,ตัน,สามพราน,280.26,ฝรั่ง,ครัวเรือน
8411,16130,บาท_ตัน,1669,ล้านบาท,11316,113,2567,ไร่,ตัน,สามพราน,182.53,มะพร้าวอ่อน,ครัวเรือน
2,20000,บาท_ตัน,1,ล้านบาท,5,114,2567,ไร่,ตัน,สามพราน,0.1,คะน้า,ครัวเรือน
2030,50630,บาท_ตัน,0,ล้านบาท,4489,115,2567,ไร่,ตัน,สามพราน,227.28,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,116,2567,ไร่,ตัน,สามพราน,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,117,2567,ไร่,ตัน,สามพราน,0,บัวบก,ครัวเรือน
11317,8000,บาท_ตัน,573,ล้านบาท,9054,118,2567,ไร่,ตัน,พุทธมณฑล,72.43,ข้าว,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,119,2567,ไร่,ตัน,พุทธมณฑล,0,อ้อยโรงงาน,ครัวเรือน
165,72540,บาท_ตัน,16,ล้านบาท,378,120,2567,ไร่,ตัน,พุทธมณฑล,27.42,ส้มโอ,ครัวเรือน
30,25000,บาท_ตัน,6,ล้านบาท,200,121,2567,ไร่,ตัน,พุทธมณฑล,5,ฝรั่ง,ครัวเรือน
198,16774,บาท_ตัน,72,ล้านบาท,1023,122,2567,ไร่,ตัน,พุทธมณฑล,17.16,มะพร้าวอ่อน,ครัวเรือน
