VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
6144.92,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,134,หญิง,พันคน,ภาคกลาง,2566
3287.14,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,135,ชาย,พันคน,ภาคเหนือ,2566
2848.91,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,136,หญิง,พันคน,ภาคเหนือ,2566
5056.97,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,137,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
4251.91,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,138,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
2917.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,139,ชาย,พันคน,ภาคใต้,2566
2394.85,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,140,หญิง,พันคน,ภาคใต้,2566
2933.59,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,141,ชาย,พันคน,กรุงเทพมหานคร,2566
2718.66,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,142,หญิง,พันคน,กรุงเทพมหานคร,2566
7052.91,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,143,ชาย,พันคน,ภาคกลาง,2566
6155.57,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,144,หญิง,พันคน,ภาคกลาง,2566
3345.2,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,145,ชาย,พันคน,ภาคเหนือ,2566
2876.61,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,146,หญิง,พันคน,ภาคเหนือ,2566
5213.7,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,147,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
4498.58,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,148,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
2924.88,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,149,ชาย,พันคน,ภาคใต้,2566
2371.63,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,150,หญิง,พันคน,ภาคใต้,2566
2967.77,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,151,ชาย,พันคน,กรุงเทพมหานคร,2566
2753.41,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,152,หญิง,พันคน,กรุงเทพมหานคร,2566
7106.36,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,153,ชาย,พันคน,ภาคกลาง,2566
