_id,เลขทะเบียนเดิม,น้ำที่ได้รับการบำบัด,ผู้ประกอบการ,หน่วย
205,จ3-50(4)-27/47พล,20.0,บริษัท พี.เค.เอส.37 ยูเนี่ยนคอนสตรัคชั่น จำกัด,ลบ.ม.
206,จ3-50(4)-27/51พล,21.0,ห้างหุ้นส่วนจำกัด ใบบริบาล,ลบ.ม.
207,จ3-50(4)-40/54พล,20.2,ห้างหุ้นส่วนจำกัด สมควรการโยธา,ลบ.ม.
208,จ3-50(4)-5/62พล,20.5,ห้างหุ้นส่วนจำกัด นิคมบางระกำก่อสร้าง,ลบ.ม.
209,จ3-50(4)-77/59พล,20.5,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา,ลบ.ม.
210,จ3-52(1)-1/56พล,26.0,บริษัท ทีทีเอ็น รับเบอร์ จำกัด,ลบ.ม.
211,3-52(3)-23/55พล,218.0,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),ลบ.ม.
212,3-52(3)-25/56พล,118.0,บริษัท ไทยฮั้วยางพารา จำกัด (มหาชน),ลบ.ม.
213,จ3-53(4)-19/61พล,4.6,บริษัท จอย สปอร์ต จำกัด,ลบ.ม.
214,จ3-53(4)-68/60พล,3.6,ห้างหุ้นส่วนจำกัด จีพี พรีฟอร์ม แอนด์ พลาสติก,ลบ.ม.
215,จ3-53(5)-1/39พล,7.5,บริษัท วงษ์พาณิชย์ อินเตอร์เนชั่นแนล จำกัด,ลบ.ม.
216,จ3-53(9)-1/40พล,3.7,นายชัยฤกษ์ วงษ์เจริญ,ลบ.ม.
217,จ3-53(9)-22/62พล,3.0,บริษัท ทรัพย์ ส.ประทีป รีไซเคิล จำกัด,ลบ.ม.
218,จ3-53(9)-26/61พล,2.7,บริษัท อำนาจพลาสติก จำกัด,ลบ.ม.
219,จ3-56-3/65พล,1.5,นายดิเรก สีดาว,ลบ.ม.
220,จ3-56-4/60พล,1.5,นายสมเกียรติ นาชอน,ลบ.ม.
221,จ3-56-5/60พล,1.5,นายชลอ พยัฆษี,ลบ.ม.
222,จ3-56-6/38พล,1.5,นายชิง คำเจริญคุณ,ลบ.ม.
223,3-57(2)-1/39พล,0.6,บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),ลบ.ม.
224,จ3-57(2)-2/56พล,0.2,ชลัมเบอร์เจอร์ โอเวอร์ซีส์ เอส.เอ.,ลบ.ม.
225,จ3-57(3)-1/45พล,5.4,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา,ลบ.ม.
226,3-58(1)-5/33พล,5.3,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด,ลบ.ม.
227,3-58(1)-9/22พล,9.2,บริษัท ซี.พี.แอล จำกัด,ลบ.ม.
228,จ2-58(1)-137/64พล,2.8,ห้างหุ้นส่วนจำกัด ส.สุนทร,ลบ.ม.
229,จ2-58(1)-146/64พล,2.6,บริษัท เนรมิตบล็อก จำกัด,ลบ.ม.
230,จ2-58(1)-147/64พล,2.4,นางสาววรรณภา สุมารุ,ลบ.ม.
231,จ2-58(1)-149/64พล,2.4,นายจตุรงค์ ผิวอ่อนดี,ลบ.ม.
232,จ3-58(1)-109/56พล,4.0,บริษัท คมพิศิษฐ์ พี.เอส.ที.คอนกรีต จำด,ลบ.ม.
